CONTRATO;Fecha_FI
CTO_TO_002113;3q/2015
CTO_TO_001652;4q/2015
CTO_TO_002789;4q/2015
CTO_TO_001805;1q/2017
CTO_TO_002181;1q/2017
CTO_TO_002263;1q/2017
CTO_TO_002919;2q/2017
CTO_TO_002836;3q/2018
CTO_TO_010047;3q/2019
CTO_TO_022241;2q/2011
CTO_TO_000687;3q/2011
CTO_TO_000589;1q/2012
CTO_TO_000188;2q/2012
CTO_TO_001113;2q/2012
CTO_TO_001215;2q/2014
CTO_TO_000517;4q/2014
CTO_TO_001111;4q/2014
CTO_TO_000485;3q/2015
CTO_TO_015144;3q/2015
CTO_TO_021991;3q/2015
CTO_TO_001298;1q/2017
CTO_TO_000660;1q/2017
CTO_TO_022052;1q/2017
CTO_TO_022113;3q/2017
CTO_TO_000525;2q/2018
CTO_TO_001066;2q/2018
CTO_TO_000418;2q/2018
CTO_TO_001174;3q/2018
CTO_TO_001176;4q/2018
CTO_TO_001038;3q/2019
CTO_TO_000181;4q/2019
CTO_TO_014429;1q/2012
CTO_TO_054802;4q/2014
CTO_TO_054774;3q/2015
CTO_TO_004350;3q/2015
CTO_TO_011817;3q/2015
CTO_TO_036722;1q/2016
CTO_TO_036631;2q/2016
CTO_TO_036690;1q/2017
CTO_TO_011903;1q/2017
CTO_TO_013739;2q/2017
CTO_TO_054760;3q/2017
CTO_TO_014446;1q/2018
CTO_TO_036626;2q/2018
CTO_TO_036658;2q/2018
CTO_TO_036573;3q/2019
CTO_TO_011734;3q/2019
CTO_TO_017479;2q/2011
CTO_TO_016707;1q/2012
CTO_TO_016778;1q/2012
CTO_TO_017695;3q/2012
CTO_TO_016707;3q/2016
CTO_TO_017695;4q/2016
CTO_TO_016733;2q/2017
CTO_TO_017920;1q/2018
CTO_TO_017544;1q/2018
CTO_TO_016736;2q/2018
CTO_TO_017790;3q/2018
CTO_TO_017545;3q/2018
CTO_TO_017545;4q/2018
CTO_TO_017527;1q/2019
CTO_TO_016969;2q/2019
CTO_TO_017411;3q/2019
CTO_TO_017357;3q/2011
CTO_TO_017357;4q/2011
CTO_TO_016793;2q/2014
CTO_TO_017402;2q/2014
CTO_TO_017097;3q/2014
CTO_TO_017566;3q/2014
CTO_TO_017474;1q/2015
CTO_TO_051629;2q/2015
