AÑO,Semana,Dia,Mes,Número,TPV,Tarifa,Tipo Doc.,Familia,Producto,Cantidad,Precio Coste,Precio,Dto. %,Dto. €,Impuesto %,Recargo %,Base,Total,Dto. € Ticket,Dto. % Ticket,Hora,days_since_prior_order,order_id,product_id,user_id
2023,33,2,1,33,1,0,2,11,173,1.0,2.29,4.9,0.0,0.0,4.0,0.5,4.71,4.9,0.0,0.0,19,0,33,222,21
2023,33,2,1,34,1,0,2,14,84,2.0,7.1,15.9,0.0,0.0,10.0,1.4,28.9,31.8,0.0,0.0,19,16,34,118,252
2023,33,2,1,35,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,20,0,35,43,747
2023,33,2,1,36,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,20,0,36,43,856
2023,33,2,1,37,1,0,2,2,127,1.0,0.78,2.95,0.0,0.0,10.0,1.4,2.68,2.95,0.0,0.0,20,0,37,164,560
2023,33,2,1,37,1,0,2,1,49,1.0,0.83,2.0,0.0,0.0,21.0,5.2,1.65,2.0,0.0,0.0,20,0,37,81,560
2023,33,2,1,38,1,0,2,15,197,0.1,19.45,49.5,0.0,0.0,10.0,1.4,4.5,4.95,0.0,0.0,21,0,38,248,474
2023,33,2,1,39,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,21,0,39,43,58
2023,33,2,1,40,1,0,2,2,14,2.0,1.65,4.9,0.0,0.0,10.0,1.4,8.91,9.8,0.0,0.0,21,0,40,43,510
2023,33,2,1,40,1,0,2,1,72,1.0,0.83,2.0,0.0,0.0,21.0,5.2,1.65,2.0,0.0,0.0,21,16,40,104,510
2023,33,2,1,40,1,0,2,1,5,1.0,0.31,1.5,0.0,0.0,10.0,1.4,1.36,1.5,0.0,0.0,21,0,40,33,510
2023,33,2,1,20805,1,0,0,2,14,-1.0,1.65,4.9,0.0,0.0,10.0,1.4,-4.45,-4.9,0.0,0.0,13,0,20805,43,42
2023,33,3,1,41,1,0,2,7,136,0.3,46.94,115.0,0.0,0.0,10.0,1.4,31.36,34.5,0.0,0.0,11,19,41,177,681
2023,33,3,1,41,1,0,2,7,139,0.15,31.05,68.0,0.0,0.0,10.0,1.4,9.27,10.2,0.0,0.0,11,17,41,180,681
2023,33,3,1,42,1,0,2,7,139,0.15,31.05,68.0,0.0,0.0,10.0,1.4,9.27,10.2,0.0,0.0,11,0,42,180,475
2023,33,3,1,42,1,0,2,2,124,1.0,1.39,2.95,0.0,0.0,10.0,1.4,2.68,2.95,0.0,0.0,11,18,42,161,475
2023,33,3,1,43,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,11,1,43,43,699
2023,33,3,1,43,1,0,2,1,35,2.0,0.67,2.0,0.0,0.0,21.0,5.2,3.31,4.0,0.0,0.0,11,0,43,66,699
2023,33,3,1,44,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,11,0,44,43,975
2023,33,3,1,45,1,0,2,13,59,1.0,0.93,3.95,0.0,0.0,10.0,1.4,3.59,3.95,0.0,0.0,11,18,45,91,782
2023,33,3,1,46,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,11,0,46,43,189
2023,33,3,1,47,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,12,0,47,43,957
2023,33,3,1,47,1,0,2,1,49,1.0,0.83,2.0,0.0,0.0,21.0,5.2,1.65,2.0,0.0,0.0,12,1,47,81,957
2023,33,3,1,48,1,0,2,15,112,0.15,0.0,22.0,0.0,0.0,10.0,1.4,3.0,3.3,0.0,0.0,12,1,48,149,686
2023,33,3,1,48,1,0,2,2,14,2.0,1.65,4.9,0.0,0.0,10.0,1.4,8.91,9.8,0.0,0.0,12,0,48,43,686
2023,33,3,1,48,1,0,2,0,63,2.0,0.07,0.35,0.0,0.0,10.0,1.4,0.64,0.7,0.0,0.0,12,1,48,95,686
2023,33,3,1,48,1,0,2,0,64,2.0,0.12,0.35,0.0,0.0,10.0,1.4,0.64,0.7,0.0,0.0,12,1,48,96,686
2023,33,3,1,48,1,0,2,2,123,1.0,0.57,2.95,0.0,0.0,10.0,1.4,2.68,2.95,0.0,0.0,12,1,48,160,686
2023,33,3,1,48,1,0,2,13,19,1.0,0.42,1.5,0.0,0.0,10.0,1.4,1.36,1.5,0.0,0.0,12,1,48,48,686
2023,33,3,1,48,1,0,2,1,50,1.0,0.83,2.0,0.0,0.0,21.0,5.2,1.65,2.0,0.0,0.0,12,18,48,82,686
2023,33,3,1,49,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,12,0,49,43,957
2023,33,3,1,50,1,0,2,2,124,1.0,1.39,2.95,0.0,0.0,10.0,1.4,2.68,2.95,0.0,0.0,12,0,50,161,562
2023,33,3,1,51,1,0,2,4,100,0.2,14.52,109.0,0.0,0.0,10.0,1.4,19.81,21.8,0.0,0.0,12,0,51,136,875
2023,33,3,1,52,1,0,2,13,62,1.0,1.57,3.95,0.0,0.0,10.0,1.4,3.59,3.95,0.0,0.0,12,1,52,94,566
2023,33,3,1,53,1,0,2,7,29,0.1,22.23,77.5,0.0,0.0,10.0,1.4,7.05,7.75,0.0,0.0,13,23,53,59,243
2023,33,3,1,54,1,0,2,7,136,0.5,46.94,115.0,0.0,0.0,10.0,1.4,52.28,57.5,0.0,0.0,13,0,54,177,831
2023,33,3,1,54,1,0,2,0,3,1.0,4.1,7.5,0.0,0.0,10.0,1.4,6.82,7.5,0.0,0.0,13,0,54,31,831
2023,33,3,1,54,1,0,2,11,175,2.0,4.29,8.9,0.0,0.0,4.0,0.5,17.12,17.8,0.0,0.0,13,26,54,224,831
2023,33,3,1,54,1,0,2,7,107,0.15,36.12,64.9,0.0,0.0,10.0,1.4,8.85,9.74,0.0,0.0,13,18,54,143,831
2023,33,3,1,54,1,0,2,15,197,0.1,19.45,49.5,0.0,0.0,10.0,1.4,4.5,4.95,0.0,0.0,13,1,54,248,831
2023,33,3,1,55,1,0,2,13,201,1.0,2.22,5.5,0.0,0.0,10.0,1.4,5.0,5.5,0.0,0.0,13,1,55,253,504
2023,33,3,1,56,1,0,2,13,59,1.0,0.93,3.95,0.0,0.0,10.0,1.4,3.59,3.95,0.0,0.0,14,0,56,91,130
2023,33,3,1,57,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,14,0,57,43,484
2023,33,3,1,57,1,0,2,1,6,1.0,1.03,2.0,0.0,0.0,21.0,5.2,1.65,2.0,0.0,0.0,14,17,57,34,484
2023,33,3,1,58,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,14,0,58,43,818
2023,33,3,1,59,1,0,2,13,201,1.0,2.22,5.5,0.0,0.0,10.0,1.4,5.0,5.5,0.0,0.0,14,0,59,253,646
2023,33,3,1,60,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,14,0,60,43,20
2023,33,3,1,61,1,0,2,0,3,1.0,4.1,7.5,0.0,0.0,10.0,1.4,6.82,7.5,0.0,0.0,14,0,61,31,840
2023,33,3,1,62,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,14,0,62,43,166
2023,33,3,1,63,1,0,2,2,14,3.0,1.65,4.9,0.0,0.0,10.0,1.4,13.36,14.7,0.0,0.0,14,0,63,43,273
2023,33,3,1,64,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,14,0,64,43,387
2023,33,3,1,64,1,0,2,1,5,1.0,0.31,1.5,0.0,0.0,10.0,1.4,1.36,1.5,0.0,0.0,14,1,64,33,387
2023,33,3,1,65,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,15,0,65,43,600
2023,33,3,1,66,1,0,2,2,10,1.0,4.28,9.9,0.0,0.0,10.0,1.4,9.0,9.9,0.0,0.0,15,1,66,39,315
2023,33,3,1,66,1,0,2,13,60,1.0,1.57,3.95,0.0,0.0,10.0,1.4,3.59,3.95,0.0,0.0,15,19,66,92,315
2023,33,3,1,67,1,0,2,7,139,0.1,31.05,68.0,0.0,0.0,10.0,1.4,6.18,6.8,0.0,0.0,15,0,67,180,13
2023,33,3,1,68,1,0,2,2,12,2.0,0.73,4.9,0.0,0.0,10.0,1.4,8.91,9.8,0.0,0.0,15,17,68,41,241
2023,33,3,1,68,1,0,2,15,112,0.115,0.0,22.0,0.0,0.0,10.0,1.4,2.3,2.53,0.0,0.0,15,0,68,149,241
2023,33,3,1,68,1,0,2,5,206,1.0,4.0,8.9,0.0,0.0,10.0,1.4,8.09,8.9,0.0,0.0,15,34,68,258,241
2023,33,3,1,68,1,0,2,5,101,0.37,45.84,74.9,0.0,0.0,10.0,1.4,25.19,27.7,0.0,0.0,15,17,68,137,241
2023,33,3,1,68,1,0,2,14,47,1.0,3.4,7.5,0.0,0.0,10.0,1.4,6.82,7.5,0.0,0.0,15,18,68,78,241
2023,33,3,1,68,1,0,2,1,50,1.0,0.83,2.0,0.0,0.0,21.0,5.2,1.65,2.0,0.0,0.0,15,0,68,82,241
2023,33,3,1,69,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,15,0,69,43,776
2023,33,3,1,69,1,0,2,0,63,1.0,0.07,0.35,0.0,0.0,10.0,1.4,0.32,0.35,0.0,0.0,15,0,69,95,776
2023,33,3,1,69,1,0,2,0,64,1.0,0.12,0.35,0.0,0.0,10.0,1.4,0.32,0.35,0.0,0.0,15,0,69,96,776
2023,33,3,1,69,1,0,2,1,133,1.0,1.03,2.0,0.0,0.0,21.0,5.2,1.65,2.0,0.0,0.0,15,17,69,172,776
2023,33,3,1,70,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,15,0,70,43,345
2023,33,3,1,71,1,0,2,1,5,1.0,0.31,1.5,0.0,0.0,10.0,1.4,1.36,1.5,0.0,0.0,15,0,71,33,564
2023,33,3,1,72,1,0,2,2,14,1.0,1.65,4.9,0.0,0.0,10.0,1.4,4.45,4.9,0.0,0.0,15,0,72,43,897
