number,value,params_batch_size,params_delta_min,params_fclayer1,params_fclayer2,params_first_conv_outchann,params_learning_rate,params_max_loss_reset,params_second_conv_outchann,params_split_size,params_weight_decay,state
56,0.0025288344174623487,50,0.1,120,0,6,0.0005303312519723912,1,24,0.75,0.030172599225324035,COMPLETE
57,0.004567776340991259,40,0.1,120,30,6,0.0006720399481176893,7,24,0.75,0.025895758174027055,COMPLETE
58,0.054505834579467775,50,0.1,180,0,6,9.332693746536896e-05,3,24,0.75,0.020470608834984524,COMPLETE
59,0.001463416125625372,50,0.1,120,0,6,0.0008471786152872312,1,24,0.7999999999999999,0.07720801597884298,COMPLETE
60,0.0005829766458191443,40,0.1,150,0,6,0.00039904023521969596,1,24,0.75,0.022046710381806167,COMPLETE
61,0.0025367996655404567,40,0.1,150,0,6,0.00038922728483729044,1,24,0.75,0.022106634128243468,COMPLETE
62,0.0007566377811599523,40,0.1,150,0,6,0.0003244140956803565,1,24,0.75,0.016458848971778274,COMPLETE
63,0.0039518257603049275,40,0.1,150,0,6,0.00034624828989638685,1,24,0.75,0.016208755368178545,COMPLETE
64,0.0010388939757831396,40,0.1,150,30,6,0.0005540919616107444,1,24,0.75,0.018088944984792826,COMPLETE
65,0.024716344848275184,40,0.1,180,0,6,0.00041450857440857714,3,24,0.75,0.013557485296958436,COMPLETE
66,0.0006750135158654303,40,0.1,120,30,6,0.00028882971686966725,1,24,0.75,0.015451442021443657,COMPLETE
67,0.0004495670335018076,40,0.1,120,30,6,0.0006525809925704982,1,24,0.75,0.01128615627472727,COMPLETE
68,0.004120956361293793,40,0.1,120,30,6,0.0006719511749294978,3,24,0.75,0.010908960405180145,COMPLETE
69,0.0011622462538070978,40,0.1,120,30,6,0.000839784415225597,1,24,0.75,0.01166733178547456,COMPLETE
70,0.0061329355835914616,50,0.1,120,0,6,0.0006268033890424442,1,24,0.75,0.029021885326588885,COMPLETE
71,0.00043986841919831934,40,0.1,120,30,6,0.000478516540299331,1,24,0.75,0.012403578298502227,COMPLETE
72,0.0006273944192798809,40,0.1,120,0,6,0.0005023379940181684,1,24,0.75,0.010462636751689397,COMPLETE
73,0.0007573295908514411,40,0.1,120,30,6,0.0004898117389609608,1,24,0.75,0.010151973837663602,COMPLETE
74,0.0015340102137997747,40,0.1,120,0,6,0.000833805813690888,1,24,0.75,0.01192302622865267,COMPLETE
75,0.0016885194694623352,40,0.1,120,0,6,0.0007125196580708585,1,24,0.75,0.012753419355010006,COMPLETE
76,0.03220038115978241,40,0.1,120,0,6,0.0004639494794062676,3,24,0.75,0.011191927747876501,COMPLETE
77,0.0007568905537482351,40,0.1,210,30,8,0.000874724501209122,1,24,0.75,0.013833419873275502,COMPLETE
78,0.0006444101978559047,40,0.1,120,0,6,0.0006469192323409836,1,24,0.75,0.010459258076913171,COMPLETE
79,0.0037446759641170503,40,0.1,120,0,6,0.0007370578657670946,3,24,0.75,0.012979559715097889,COMPLETE
80,0.0031712377443909646,40,0.1,120,30,6,0.0005293460116867169,1,24,0.75,0.012318959206417306,COMPLETE
81,0.0007233696698676795,40,0.1,120,0,6,0.0006258011537096772,1,24,0.75,0.01010928990845852,COMPLETE
82,0.0005446683295303956,40,0.1,120,0,6,0.00036758917449985985,1,24,0.75,0.010935800030126163,COMPLETE
83,0.001182386022992432,40,0.1,120,0,6,0.0003775637860759162,1,24,0.75,0.011105304917621487,COMPLETE
84,0.0009078513365238905,40,0.1,120,0,6,0.0007356324847733291,1,24,0.75,0.014063312691967528,COMPLETE
85,0.000901731625587369,30,0.1,120,0,6,0.00024666167555790054,1,24,0.75,0.012386927125704312,COMPLETE
86,0.005957919172942638,40,0.1,120,0,6,0.0004610377706268511,1,24,0.75,0.01071767248880861,COMPLETE
87,0.00036751799525518435,40,0.1,120,0,6,0.00041520464436267933,1,24,0.75,0.011383886890163892,COMPLETE
88,0.0018709506839513779,40,0.1,120,30,8,0.0004232372970392839,1,24,0.75,0.015026273319272273,COMPLETE
89,0.0013937358899662891,30,0.1,120,0,6,0.0002729687623391561,1,24,0.75,0.037055403504457844,COMPLETE
90,0.015735814273357393,50,0.1,180,30,6,0.0005996187602545412,7,24,0.7999999999999999,0.019116852287585563,COMPLETE
91,0.0016725072404369713,40,0.1,120,0,6,0.0008850006560214911,1,24,0.75,0.011379295227702315,COMPLETE
92,0.008128960058093071,40,0.1,120,0,6,0.0005217345002739523,1,24,0.75,0.033353742649032014,COMPLETE
93,0.0033037806395441295,40,0.1,120,0,6,0.0003670941284414329,1,24,0.75,0.020534881527736457,COMPLETE
94,0.0075447820127010345,40,0.1,120,0,6,4.0709455114205646e-05,1,24,0.75,0.012276823730310972,COMPLETE
95,0.03235573992133141,40,0.1,120,0,12,0.0007726740538350868,9,24,0.75,0.017296784278430254,COMPLETE
96,0.0007876551477238536,40,0.1,120,0,6,0.0004100350415308797,1,24,0.75,0.027210085335712182,COMPLETE
97,0.006016719415783882,50,0.1,120,0,10,0.00030676347072914066,1,24,0.75,0.022144753040930335,COMPLETE
98,0.0016000016825273634,40,0.1,120,0,6,0.0009808406892865872,1,24,0.75,0.010576712441954364,COMPLETE
99,0.0022588171375294524,30,0.1,120,0,6,0.0003435339413538662,1,24,0.75,0.012868061115178322,COMPLETE
100,0.03986838340759277,50,0.1,120,0,6,0.0004954953774869357,3,24,0.75,0.01195459892017508,COMPLETE
101,0.0004318794352002442,40,0.1,120,0,6,0.0006735384156859572,1,24,0.75,0.01009105037039849,COMPLETE
102,0.000651456625200808,40,0.1,120,0,6,0.0005811795778922927,1,24,0.75,0.011354486259124169,COMPLETE
103,0.0007826692657545209,40,0.1,120,0,6,0.000886524104823622,1,24,0.75,0.0101373031617251,COMPLETE
104,0.004814214166253805,40,0.1,120,0,6,0.0006902279983398502,1,24,0.75,0.02521217698262633,COMPLETE
105,0.0025304062757641075,40,0.1,120,0,6,0.0008015062917454586,1,24,0.75,0.010727242284153652,COMPLETE
106,0.0014105423120781778,40,0.1,120,30,6,0.00043256557730897557,1,24,0.75,0.011635309123167082,COMPLETE
107,0.002256477274931967,40,0.1,120,0,6,0.0005656677328096949,1,24,0.75,0.013639640506278482,COMPLETE
108,0.00045111986342817546,50,0.1,150,60,6,0.0006904091916016314,1,24,0.75,0.015548037919864765,COMPLETE
109,0.004139921590685844,50,0.1,150,60,6,0.0006897322103333783,1,24,0.75,0.015604794825296153,COMPLETE
110,0.004011527597904205,50,0.1,150,90,6,0.0008907119294058989,1,24,0.75,0.01762156513178273,COMPLETE
111,0.0010744301788508893,50,0.1,150,60,6,0.0005084814611767753,1,24,0.75,0.01655479160612692,COMPLETE
112,0.0004957606599396058,50,0.1,150,30,6,0.0006195033585865965,1,24,0.75,0.011010326116296756,COMPLETE
113,0.004704552749171853,50,0.1,150,30,6,0.0006170375166740093,1,24,0.75,0.013214278587642974,COMPLETE
114,0.0006710104690864682,50,0.1,150,30,6,0.0007793011252398741,1,24,0.75,0.019104308935515287,COMPLETE
115,0.0010098628886044026,50,0.1,150,60,6,0.0007004257191401738,1,24,0.75,0.01467102202513625,COMPLETE
116,0.0008522525522857904,50,0.1,150,30,6,0.0004502990890892497,1,24,0.75,0.011185654187603008,COMPLETE
117,0.0019198256731033326,50,0.1,150,60,6,0.0009053421781945617,1,24,0.75,0.021125871316801638,COMPLETE
118,0.001555226305499673,50,0.1,150,30,6,0.0008045380181599725,1,24,0.75,0.012645787647731615,COMPLETE
119,0.0015046913083642721,50,0.1,180,30,6,0.0009933390184433798,1,24,0.75,0.01193617089706397,COMPLETE
120,0.0015151198208332062,50,0.1,150,150,6,0.0005698938120511098,1,24,0.75,0.01557846590161058,COMPLETE
121,0.0006474966183304786,40,0.1,120,0,6,0.0004002694485631431,1,24,0.75,0.01063252931225465,COMPLETE
122,0.0019292854238301515,40,0.1,120,0,6,0.0006382071413968186,1,24,0.75,0.010118436947224144,COMPLETE
123,0.00036164332632324656,40,0.1,120,0,6,0.00048637691189186053,1,24,0.75,0.010980151679422089,COMPLETE
124,0.0029118396807461975,40,0.1,120,0,6,0.0004616083999864045,1,24,0.75,0.011202411280635424,COMPLETE
125,0.0013443639734759926,40,0.1,120,0,6,0.0005446473637115644,1,24,0.75,0.014271666694325615,COMPLETE
126,0.017590502835810186,10,0.1,150,0,6,0.0007300913216389572,1,24,0.75,0.01990775098995031,COMPLETE
127,0.0009357226430438459,40,0.1,120,0,6,0.00036862503922007925,1,24,0.75,0.011532038394624028,COMPLETE
128,0.0014138938626274467,40,0,120,90,6,0.0006453718804958966,1,16,0.75,0.04045589888766876,COMPLETE
129,0.00039084321997506777,40,0.1,150,30,6,0.00032216120702372407,1,20,0.75,0.012060333065058892,COMPLETE
130,0.04237503945827484,50,0.1,150,30,6,0.00030888023090267863,5,20,0.75,0.012208488070744929,COMPLETE
131,0.0012129700975492597,40,0.1,150,30,6,0.0002137013468825966,1,24,0.75,0.010996553944748324,COMPLETE
132,0.0013331720954738557,40,0.1,150,30,6,0.00033121524739024256,1,20,0.75,0.013360873268154806,COMPLETE
133,0.000974496640264988,40,0.1,150,30,6,0.00044843575867336714,1,20,0.75,0.01714275677103672,COMPLETE
134,0.005064544267952442,40,0.1,150,0,6,0.0002763199274458589,1,20,0.75,0.018433351302062466,COMPLETE
135,0.001337427890393883,40,0.1,120,0,6,0.0003999316956741037,1,20,0.75,0.011742607788209862,COMPLETE
136,0.004328397288918495,40,0.1,120,30,6,0.00011898623580826312,1,24,0.75,0.012605963665456955,COMPLETE
137,0.012213674001395702,40,0.1,180,0,10,1.7413929829089573e-05,1,20,0.75,0.010470321507414537,COMPLETE
138,0.0008544621057808399,40,0.1,120,0,6,0.000522038536106153,1,24,0.75,0.010069797503840957,COMPLETE
139,0.0031021726744559905,30,0.1,150,60,6,0.00082606696865534,1,24,0.75,0.01623044913560818,COMPLETE
140,0.0008450878667645156,40,0.1,210,0,6,0.0007429831110618853,1,24,0.75,0.010966317837844353,COMPLETE
141,0.0011241446598432958,40,0.1,120,0,6,0.0004946701606492406,1,24,0.75,0.010517602548403381,COMPLETE
142,0.0007632719352841377,40,0.1,120,0,6,0.0005787444412970545,1,24,0.75,0.011667134071865936,COMPLETE
143,0.003863024525344372,40,0.1,120,0,6,0.0003612224747552383,1,24,0.75,0.010775774158691303,COMPLETE
144,0.0016559314914047717,40,0.1,120,0,6,0.0004939786359254039,1,24,0.75,0.01204839537075664,COMPLETE
145,0.0013525995193049312,40,0.1,120,0,6,0.0006089838587290008,1,24,0.75,0.01128523142963625,COMPLETE
146,0.00040932215633802114,50,0.1,120,0,6,0.0004275834149633815,1,24,0.75,0.022551839257622903,COMPLETE
147,0.0009386239945888519,50,0.1,120,0,6,0.0004284332373088902,1,24,0.75,0.022633403182226966,COMPLETE
148,0.592960181236267,50,0.1,120,30,6,6.672751210217097e-05,1,24,0.75,0.022986703216975924,COMPLETE
149,0.0003823218808975071,50,0,120,0,6,0.00037743742385047555,1,24,0.75,0.020933822308091335,COMPLETE
150,0.0038017690554261207,50,0,150,30,6,0.0003584739602960373,1,24,0.75,0.018974346746990726,COMPLETE
151,0.015505378991365433,50,0,120,0,6,0.0004083313746090301,1,24,0.75,0.019591033722713713,COMPLETE
152,0.001982717886567116,50,0,120,0,6,0.0004615351268890062,1,24,0.75,0.025031728628648005,COMPLETE
153,0.0013254936947487295,50,0,120,0,6,0.0003327709317717639,1,24,0.75,0.02044326255022668,COMPLETE
154,0.0017978272028267384,50,0,120,0,6,0.0009139027136979767,1,16,0.75,0.02139218560073034,COMPLETE
155,0.0006322271455987049,50,0.1,120,0,6,0.00038377983194310083,1,24,0.75,0.018244481441605807,COMPLETE
156,0.0007362194638699293,50,0.1,120,0,6,0.0005385293033730972,1,24,0.75,0.017498925983587498,COMPLETE
157,0.001956373676657677,50,0.1,120,0,6,0.0007158495067576444,1,24,0.75,0.019722831037299764,COMPLETE
158,0.0064966526627540586,50,0.1,150,0,6,0.0009949877781237257,1,24,0.75,0.09189566245346859,COMPLETE
159,0.0031414102762937547,50,0.1,120,0,6,0.00028844157721497543,1,24,0.75,0.021015127684812684,COMPLETE
160,0.002388445381075144,40,0,120,30,6,0.0006631592803697124,1,24,0.75,0.013824880386566896,COMPLETE
161,0.003212410816922784,40,0.1,120,0,6,0.00047674185402892834,1,24,0.75,0.02393382841302231,COMPLETE
162,0.0014847475104033947,40,0.1,120,0,6,0.0004382435707460106,1,24,0.75,0.010011384914594508,COMPLETE
163,0.0059847402386367324,40,0.1,120,0,6,0.000549477196626346,1,24,0.75,0.029388956386313256,COMPLETE
164,0.00045394268454401754,40,0.1,120,0,6,0.0004964463960818522,1,24,0.75,0.010581311326496723,COMPLETE
165,0.0008961155544966459,40,0.1,120,0,6,0.00039010080535908047,1,24,0.75,0.010946264448567115,COMPLETE
166,0.0011721449089236557,40,0.1,120,0,6,0.0006136352417571611,1,24,0.75,0.012698925103949993,COMPLETE
167,0.0019878458231687548,40,0.1,120,0,6,0.0008319432473059378,9,24,0.75,0.011540933619523174,COMPLETE
168,0.0012495108880102635,50,0.1,120,30,6,0.0005055467996857754,1,24,0.75,0.012086829676578903,COMPLETE
169,0.004979346133768559,20,0.1,150,0,6,0.0003219510551713017,1,24,0.75,0.02683107499643359,COMPLETE
170,0.0009910352621227503,50,0.1,120,60,6,0.00042425973040995986,1,24,0.75,0.01056480339321776,COMPLETE
171,0.0039557965472340586,40,0.1,120,0,6,0.000483464837535712,1,24,0.75,0.010419929193844546,COMPLETE
172,0.0010460958816111087,40,0.1,120,0,6,0.0005733863601340174,1,24,0.75,0.011154758719232978,COMPLETE
173,0.0005336560803698376,40,0.1,120,0,6,0.0006726380765429801,1,24,0.75,0.010556603809050215,COMPLETE
174,0.005769839137792587,40,0.1,120,0,6,0.0006709179661689999,1,24,0.75,0.024378465769038845,COMPLETE
175,0.002428821800276637,40,0.1,120,0,6,0.0008030406540661479,1,24,0.75,0.011502594327365034,COMPLETE
176,0.0005476559046655894,40,0.1,120,0,6,0.0007627837495243982,1,24,0.75,0.016894601775270593,COMPLETE
177,0.007666941173374653,40,0.1,120,0,6,0.0007317719300885231,1,24,0.75,0.04788550627581765,COMPLETE
178,0.0007885207945946604,40,0.1,150,0,6,0.0006172377920226905,1,24,0.75,0.016641389850550005,COMPLETE
179,0.00042569158104015513,40,0.1,120,0,6,0.0005667982965210208,1,24,0.75,0.01000569020139791,COMPLETE
180,0.0015993299894034863,40,0.1,120,0,6,0.0006674723758901271,1,24,0.75,0.01037004095363267,COMPLETE
181,0.0009843133506365121,40,0.1,120,0,6,0.0005367297503755099,1,24,0.75,0.010786559148928187,COMPLETE
182,0.00048574304673820734,40,0.1,120,0,6,0.0005966809071703472,1,24,0.75,0.011259359865569047,COMPLETE
183,0.0021225309930741785,40,0.1,120,0,6,0.000591975189661318,1,24,0.75,0.010125421990425624,COMPLETE
184,0.0009727167489472777,40,0.1,120,0,6,0.0007860760105701408,1,24,0.75,0.01092925390790333,COMPLETE
185,0.002537081856280565,40,0.1,120,0,6,0.0006918030356495823,1,24,0.75,0.012322983472725407,COMPLETE
186,0.0042263917624950405,40,0.1,120,0,6,0.000537597005201262,1,24,0.75,0.011796094856689523,COMPLETE
187,0.0021295313723385333,40,0.1,120,30,6,0.0006189886548008677,1,16,0.75,0.011200668946728649,COMPLETE
188,0.004992586970329285,50,0,120,0,12,0.000883106144139205,1,24,0.75,0.010042004338333051,COMPLETE
189,0.0011363247525878251,40,0.1,120,90,10,0.00046943482369795145,1,24,0.75,0.010742852586791514,COMPLETE
190,0.0044247984886169435,50,0.1,120,0,6,0.0007509888315533104,1,24,0.75,0.011576810297212642,COMPLETE
191,0.0006759875861462206,40,0.1,150,0,6,0.00043106268204302326,1,24,0.75,0.010582491755625499,COMPLETE
192,0.0023822960443794726,40,0.1,120,0,6,0.00036595852448679844,1,24,0.75,0.015164627725355415,COMPLETE
193,0.0021331345895305278,40,0.1,120,120,6,0.0003972090271246324,1,24,0.75,0.013064196645139163,COMPLETE
194,0.012912048771977425,40,0.1,120,0,6,0.0005142597922868817,7,24,0.75,0.011160526921172613,COMPLETE
195,0.0013564515393227339,40,0.1,120,0,6,0.0005759549992190859,5,24,0.75,0.012334976156391076,COMPLETE
196,0.002824890101328492,40,0.1,150,0,6,0.0004669754844272535,1,24,0.75,0.03236940551174564,COMPLETE
197,0.007743146643042565,40,0.1,120,0,6,0.00013869037598185556,1,24,0.75,0.02275783317787828,COMPLETE
198,0.0008193297847174108,50,0.1,120,30,6,0.0006499834996959639,1,24,0.75,0.01752289549608699,COMPLETE
199,0.0023908668197691442,40,0.1,120,0,6,0.0003389707886162311,1,24,0.75,0.018658130801701745,COMPLETE
