invalid_key,image_type,image_number,patience_validation,patience_plateau,delta_min,batch_size,split_size,max_loss_reset,learning_rate,weight_decay,first_conv_outchann,second_conv_outchann,fclayer1,fclayer2,criterion_type,optimizer,verbosity,plot,accuracy,precision,recall,f1,average_loss,combined_score,rank
idk,FSL_SEG,1,1,0,0.1,30,0.8,1,1e-05,0.03,10,24,210,None,BCElogitsloss,Adam,1,True,0.09090909090909105,0.5892857142857142,0.7333333333333333,0.7159763313609468,0.9798330205848625,0.0940317350340776,69.0
idk,FSL_SEG,1,1,0,0.1,30,0.8,1,1e-05,0.03,12,24,210,None,BCElogitsloss,Adam,1,True,0.18181818181818188,0.0,0.0,0.0,0.9701080381745398,0.18074456742645514,67.5
idk,FSL_SEG,1,1,0,0.1,30,0.8,1,1e-05,0.01,10,24,210,None,BCElogitsloss,Adam,1,True,0.2727272727272727,0.0,0.0,0.0,0.9550193322061772,0.2711168511396826,59.5
idk,FSL_SEG,1,1,0,0.1,30,0.8,1,1e-05,0.01,12,24,210,None,BCElogitsloss,Adam,1,True,0.2727272727272727,0.6428571428571428,1.0,0.8461538461538463,0.9642574773374697,0.27535860618067237,46.5
idk,FSL_SEG,1,1,0,0.1,30,0.8,1,1e-05,0.02,10,24,210,None,BCElogitsloss,Adam,1,True,0.7272727272727271,0.7959183673469388,0.8666666666666667,0.9166666666666667,0.9910733475670327,0.7277663746724705,21.0
idk,FSL_SEG,1,1,0,0.1,30,0.8,1,1e-05,0.02,12,24,210,None,BCElogitsloss,Adam,1,True,0.5454545454545454,0.7563025210084033,0.6666666666666666,0.7932692307692308,0.9839591147631565,0.5465876999245769,31.5
idk,FSL_SEG,1,1,0,0.1,30,0.8,1,5e-05,0.03,10,24,210,None,BCElogitsloss,Adam,1,True,0.18181818181818188,0.0,0.0,0.0,0.9911848635496648,0.18074456742645514,67.5
idk,FSL_SEG,1,1,0,0.1,30,0.8,1,5e-05,0.03,12,24,210,None,BCElogitsloss,Adam,1,True,0.0,0.5413533834586466,0.5333333333333333,0.5972850678733033,0.994597898041077,0.0031866162309123133,72.0
idk,FSL_SEG,1,1,0,0.1,30,0.8,1,5e-05,0.01,10,24,210,None,BCElogitsloss,Adam,1,True,0.45454545454545436,0.857142857142857,0.26666666666666666,0.4835164835164836,0.9943286060687504,0.45618575154166885,35.0
idk,FSL_SEG,1,1,0,0.1,30,0.8,1,5e-05,0.01,12,24,210,None,BCElogitsloss,Adam,1,True,0.45454545454545436,0.8035714285714285,0.3333333333333333,0.5518394648829432,0.9961021790268705,0.4560194917004212,37.0
idk,FSL_SEG,1,1,0,0.1,30,0.8,1,5e-05,0.02,10,24,210,None,BCElogitsloss,Adam,1,True,0.5454545454545454,0.7714285714285714,0.6,0.7615384615384616,0.9925992394994756,0.546574929346547,33.5
idk,FSL_SEG,1,1,0,0.1,30,0.8,1,5e-05,0.02,12,24,210,None,BCElogitsloss,Adam,1,True,0.7272727272727271,0.8120300751879698,0.8,0.8959276018099549,0.9954920795203512,0.7277581940521886,23.0
idk,FSL_SEG,1,1,0,0.1,30,0.8,1,8e-05,0.03,10,24,210,None,BCElogitsloss,Adam,1,True,0.5454545454545454,0.7563025210084033,0.6666666666666666,0.7932692307692308,0.9928238003947861,0.5465876999245769,31.5
idk,FSL_SEG,1,1,0,0.1,30,0.8,1,8e-05,0.03,12,24,210,None,BCElogitsloss,Adam,1,True,0.7272727272727271,0.8319327731092436,0.7333333333333333,0.872596153846154,0.9902524870282768,0.727767667115553,17.5
idk,FSL_SEG,1,1,0,0.1,30,0.8,1,8e-05,0.01,10,24,210,None,BCElogitsloss,Adam,1,True,0.5454545454545454,0.8181818181818181,0.4666666666666667,0.6834319526627219,0.9963431745097256,0.5466262298607583,29.5
idk,FSL_SEG,1,1,0,0.1,30,0.8,1,8e-05,0.01,12,24,210,None,BCElogitsloss,Adam,1,True,1.0,0.9285714285714285,0.8666666666666667,1.0,0.987691701276034,0.9995009576257416,1.5
idk,FSL_SEG,1,1,0,0.1,30,0.8,1,8e-05,0.02,10,24,210,None,BCElogitsloss,Adam,1,True,0.45454545454545436,0.7232142857142856,0.6,0.7369727047146404,0.9958356317942764,0.4559781238779958,38.5
idk,FSL_SEG,1,1,0,0.1,30,0.8,1,8e-05,0.02,12,24,210,None,BCElogitsloss,Adam,1,True,0.7272727272727271,0.8319327731092436,0.7333333333333333,0.872596153846154,0.9942561116531463,0.727767667115553,17.5
idk,FSL_SEG,1,1,0,0.1,30,0.8,1,0.0001,0.03,10,24,210,None,BCElogitsloss,Adam,1,True,0.8181818181818179,0.857142857142857,0.8,0.9230769230769232,0.9847148462670289,0.8183405566008063,11.5
idk,FSL_SEG,1,1,0,0.1,30,0.8,1,0.0001,0.03,12,24,210,None,BCElogitsloss,Adam,1,True,0.8181818181818179,0.8839285714285714,0.7333333333333333,0.9007444168734493,0.9973409536936991,0.818382082133541,9.0
idk,FSL_SEG,1,1,0,0.1,30,0.8,1,0.0001,0.01,10,24,210,None,BCElogitsloss,Adam,1,True,0.2727272727272727,0.6428571428571428,0.26666666666666666,0.44147157190635455,0.9893809940810351,0.27444330964710956,52.0
idk,FSL_SEG,1,1,0,0.1,30,0.8,1,0.0001,0.01,12,24,210,None,BCElogitsloss,Adam,1,True,0.909090909090909,0.907563025210084,0.8,0.9519230769230771,0.9969257024991386,0.9089476343065291,3.0
idk,FSL_SEG,1,1,0,0.1,30,0.8,1,0.0001,0.02,10,24,210,None,BCElogitsloss,Adam,1,True,0.7272727272727271,0.8120300751879698,0.8,0.8959276018099549,0.9913231894052843,0.7277581940521886,23.0
idk,FSL_SEG,1,1,0,0.1,30,0.8,1,0.0001,0.02,12,24,210,None,BCElogitsloss,Adam,1,True,1.0,0.9285714285714285,0.8666666666666667,1.0,0.9986741073504832,0.9995009576257416,1.5
idk,FSL_SEG,1,1,0,0.1,40,0.8,1,1e-05,0.03,10,24,210,None,BCElogitsloss,Adam,1,True,0.2727272727272727,0.0,0.0,0.0,0.6422189981231142,0.2711168511396826,59.5
idk,FSL_SEG,1,1,0,0.1,40,0.8,1,1e-05,0.03,12,24,210,None,BCElogitsloss,Adam,1,True,0.2727272727272727,0.0,0.0,0.0,0.7450224264841421,0.2711168511396826,59.5
idk,FSL_SEG,1,1,0,0.1,40,0.8,1,1e-05,0.01,10,24,210,None,BCElogitsloss,Adam,1,True,0.2727272727272727,0.0,0.0,0.0,0.7692768311235635,0.2711168511396826,59.5
idk,FSL_SEG,1,1,0,0.1,40,0.8,1,1e-05,0.01,12,24,210,None,BCElogitsloss,Adam,1,True,0.36363636363636354,0.7012987012987012,0.4,0.5857988165680474,0.9914785958354975,0.3652541584941042,42.0
idk,FSL_SEG,1,1,0,0.1,40,0.8,1,1e-05,0.02,10,24,210,None,BCElogitsloss,Adam,1,True,0.2727272727272727,0.0,0.0,0.0,0.8363850123546152,0.2711168511396826,59.5
idk,FSL_SEG,1,1,0,0.1,40,0.8,1,1e-05,0.02,12,24,210,None,BCElogitsloss,Adam,1,True,0.2727272727272727,0.0,0.0,0.0,0.6458119273136163,0.2711168511396826,59.5
idk,FSL_SEG,1,1,0,0.1,40,0.8,1,5e-05,0.03,10,24,210,None,BCElogitsloss,Adam,1,True,0.2727272727272727,0.0,0.0,0.0,0.894386457453032,0.2711168511396826,59.5
idk,FSL_SEG,1,1,0,0.1,40,0.8,1,5e-05,0.03,12,24,210,None,BCElogitsloss,Adam,1,True,0.2727272727272727,0.6428571428571428,1.0,0.8461538461538463,0.9941583645036424,0.27535860618067237,46.5
idk,FSL_SEG,1,1,0,0.1,40,0.8,1,5e-05,0.01,10,24,210,None,BCElogitsloss,Adam,1,True,0.2727272727272727,0.0,0.0,0.0,0.429445916512899,0.2711168511396826,59.5
