image_type,image_number,patience_validation,patience_plateau,delta_min,batch_size,split_size,max_loss_reset,learning_rate,weight_decay,first_conv_outchann,second_conv_outchann,fclayer1,fclayer2,criterion_type,optimizer,verbosity,accuracy,precision,recall,f1,average_loss,combined_score,rank
RAW,2,1,1,0.1,30,0.8,1,0.0001,0.03,10,24,210,None,BCElogitsloss,Adam,1,0.4545454545454546,0.3571428571428571,0.5384615384615384,0.667423898228078,0.63469161036873,0.4541922973332664,53.5
RAW,2,1,1,0.1,30,0.8,1,0.0001,0.03,12,24,210,None,BCElogitsloss,Adam,1,0.5454545454545454,0.4201680672268907,0.6153846153846153,0.743838028169014,0.0,0.5449953907907552,40.5
RAW,2,1,1,0.1,30,0.8,1,0.0001,0.01,10,24,210,None,BCElogitsloss,Adam,1,0.6363636363636365,0.47619047619047616,0.6923076923076923,0.8156209987195902,0.709080969805984,0.6357723164725353,33.0
RAW,2,1,1,0.1,30,0.8,1,0.0001,0.01,12,24,210,None,BCElogitsloss,Adam,1,0.2727272727272727,0.23809523809523803,0.5384615384615384,0.615877080665813,0.7227656087534601,0.27263210158556533,68.0
RAW,2,1,1,0.1,30,0.8,1,0.0001,0.02,10,24,210,None,BCElogitsloss,Adam,1,0.6363636363636365,0.4545454545454545,0.8461538461538461,0.8858012942519984,0.06675221032507206,0.6357112576482753,35.0
RAW,2,1,1,0.1,30,0.8,1,0.0001,0.02,12,24,210,None,BCElogitsloss,Adam,1,0.8181818181818181,0.6249999999999999,0.6923076923076923,0.8800545206724215,0.8149534907840873,0.8174437252669994,10.5
RAW,2,1,1,0.1,30,0.8,1,0.0005,0.03,10,24,210,None,BCElogitsloss,Adam,1,0.36363636363636376,0.2597402597402597,0.30769230769230765,0.45070422535211263,0.5422927023421414,0.36324092049436557,66.0
RAW,2,1,1,0.1,30,0.8,1,0.0005,0.03,12,24,210,None,BCElogitsloss,Adam,1,0.5454545454545454,0.40816326530612235,0.7692307692307692,0.823943661971831,0.49636264720055434,0.5449703551382504,45.0
RAW,2,1,1,0.1,30,0.8,1,0.0005,0.01,10,24,210,None,BCElogitsloss,Adam,1,0.7272727272727273,0.5263157894736842,0.7692307692307692,0.8831814415907207,0.7205596457339313,0.7265272061326654,23.0
RAW,2,1,1,0.1,30,0.8,1,0.0005,0.01,12,24,210,None,BCElogitsloss,Adam,1,0.6363636363636365,0.4910714285714285,0.6153846153846153,0.7737392094502499,0.8157710105846235,0.6358180113001329,31.0
RAW,2,1,1,0.1,30,0.8,1,0.0005,0.02,10,24,210,None,BCElogitsloss,Adam,1,0.8181818181818181,0.5714285714285713,0.8461538461538461,0.9468812877263582,0.9892232213964484,0.8172633651743934,13.0
RAW,2,1,1,0.1,30,0.8,1,0.0005,0.02,12,24,210,None,BCElogitsloss,Adam,1,0.0,0.04201680672268915,0.3846153846153846,0.4348591549295774,0.599510251946917,0.00020656513317355852,72.0
RAW,2,1,1,0.1,30,0.8,1,0.0002,0.03,10,24,210,None,BCElogitsloss,Adam,1,0.7272727272727273,0.5263157894736842,0.7692307692307692,0.8831814415907207,0.8392154895177816,0.7265272061326654,23.0
RAW,2,1,1,0.1,30,0.8,1,0.0002,0.03,12,24,210,None,BCElogitsloss,Adam,1,0.4545454545454546,0.3571428571428571,0.4615384615384615,0.6124332200097135,0.8342416262630763,0.4541823856374825,56.5
RAW,2,1,1,0.1,30,0.8,1,0.0002,0.01,10,24,210,None,BCElogitsloss,Adam,1,0.6363636363636365,0.4910714285714285,0.6153846153846153,0.7737392094502499,0.8660440975437338,0.6358180113001329,31.0
RAW,2,1,1,0.1,30,0.8,1,0.0002,0.01,12,24,210,None,BCElogitsloss,Adam,1,0.4545454545454546,0.3571428571428571,0.6153846153846153,0.7157490396927015,0.9370076169301558,0.4542022090290503,51.0
RAW,2,1,1,0.1,30,0.8,1,0.0002,0.02,10,24,210,None,BCElogitsloss,Adam,1,0.9090909090909092,0.769230769230769,0.6153846153846153,0.8762575452716297,0.8568730036120791,0.9085304408858538,3.0
RAW,2,1,1,0.1,30,0.8,1,0.0002,0.02,12,24,210,None,BCElogitsloss,Adam,1,0.8181818181818181,0.7857142857142855,0.4615384615384615,0.7397183098591549,0.7781107332329624,0.818014540632169,5.5
RAW,2,1,1,0.1,30,0.8,1,0.0003,0.03,10,24,210,None,BCElogitsloss,Adam,1,0.6363636363636365,0.4910714285714285,0.6153846153846153,0.7737392094502499,0.6669443652951349,0.6358180113001329,31.0
RAW,2,1,1,0.1,30,0.8,1,0.0003,0.03,12,24,210,None,BCElogitsloss,Adam,1,0.4545454545454546,0.3571428571428571,0.5384615384615384,0.667423898228078,0.5808461333679801,0.4541922973332664,53.5
RAW,2,1,1,0.1,30,0.8,1,0.0003,0.01,10,24,210,None,BCElogitsloss,Adam,1,0.36363636363636376,0.31055900621118016,0.7692307692307692,0.770941438102298,0.7134644395361472,0.3634902880453604,62.0
RAW,2,1,1,0.1,30,0.8,1,0.0003,0.01,12,24,210,None,BCElogitsloss,Adam,1,0.8181818181818181,0.6249999999999999,0.6923076923076923,0.8800545206724215,0.6289448587874392,0.8174437252669994,10.5
RAW,2,1,1,0.1,30,0.8,1,0.0003,0.02,10,24,210,None,BCElogitsloss,Adam,1,0.18181818181818188,0.21739130434782605,0.6923076923076923,0.6842105263157894,0.6319387620232585,0.1820168875990609,70.0
RAW,2,1,1,0.1,30,0.8,1,0.0003,0.02,12,24,210,None,BCElogitsloss,Adam,1,0.7272727272727273,0.9999999999999999,0.23076923076923073,0.47605633802816905,0.3915290061521791,0.7282278677011889,17.0
RAW,2,1,1,0.1,40,0.8,1,0.0001,0.03,10,24,210,None,BCElogitsloss,Adam,1,0.4545454545454546,0.3571428571428571,0.30769230769230765,0.47605633802816905,0.8910470086990187,0.45416256224591467,59.0
