number,value,params_batch_size,params_delta_min,params_fclayer1,params_fclayer2,params_first_conv_outchann,params_learning_rate,params_max_loss_reset,params_patience_plateau,params_patience_validation,params_second_conv_outchann,params_split_size,params_weight_decay,state
48,0.01684246987104416,50,0,120,90,12,0.0007408590656784632,5,1,1,20,0.75,0.016418893372809485,COMPLETE
49,0.08772024363279343,40,0,120,60,12,0.0009785109536279567,7,0. 3,1,20,0.7999999999999999,0.012094955072199555,COMPLETE
50,0.011387924551963807,50,0,120,90,12,0.000203607649947783,5,0. 3,2,20,0.7999999999999999,0.014797173588064233,COMPLETE
51,0.06930207312107087,40,0,120,90,12,0.0005784473170362277,3,0. 3,1,20,0.75,0.02000489354173276,COMPLETE
52,0.0016485509229823947,40,0,120,90,12,0.00033289193853032955,5,0. 3,1,20,0.75,0.018053139987919867,COMPLETE
53,0.002464318011576931,30,0,120,90,12,0.0001416806944545032,3,0. 3,1,20,0.75,0.022145957704402128,COMPLETE
54,0.0023606768110767005,40,0,120,60,12,0.0004985279760504153,5,0. 3,1,20,0.75,0.017477429605987145,COMPLETE
55,0.012936615198850632,40,0,120,90,12,0.00045720028492948,7,0. 3,1,20,0.75,0.010066325143830717,COMPLETE
56,0.06932487636804581,40,0,120,30,12,0.0008515001084010689,3,0. 3,2,24,0.75,0.014681152568788802,COMPLETE
57,0.043181182940800984,30,0.1,120,90,12,0.0003717710536293411,5,0. 3,1,20,0.75,0.012613244106228128,COMPLETE
58,0.02518207922577858,50,0,120,60,12,0.0006260807815592932,3,0. 3,1,24,0.75,0.02125689801744927,COMPLETE
59,0.0025540572591125966,40,0.1,120,90,12,0.0002266064242126066,7,0. 3,1,20,0.75,0.011198905291344005,COMPLETE
60,0.030653361082077026,50,0,120,0,6,0.00029694260962637815,5,1,1,20,0.7999999999999999,0.027330655973623465,COMPLETE
61,0.00141392492223531,40,0,120,90,12,0.00035270522764376243,5,0. 3,1,20,0.75,0.017438160818605532,COMPLETE
62,0.0032892612274736167,40,0,120,90,12,0.00014079149016516207,5,0. 3,1,20,0.75,0.016461138683044173,COMPLETE
63,0.0028706389013677834,40,0,120,90,12,0.00046232618936237836,5,0. 3,1,20,0.75,0.024646621972930965,COMPLETE
64,0.0012240601354278624,40,0,120,60,12,0.0003372627573333971,5,0. 3,1,20,0.75,0.013182498885355342,COMPLETE
65,0.004414447272817294,30,0.1,120,60,12,0.0003706179375735386,5,0. 3,1,20,0.75,0.013303363753016063,COMPLETE
66,0.0016538752242922783,40,0,120,30,12,0.0002572878086108076,5,0. 3,3,20,0.75,0.0142847465969856,COMPLETE
67,0.008801812678575516,30,0,120,60,12,0.0003361342065204165,5,0. 3,1,20,0.75,0.011045522242668655,COMPLETE
68,0.020790627226233482,40,0.1,210,30,12,0.0006728676651088145,5,0. 3,1,20,0.75,0.03467243832927516,COMPLETE
69,0.04364358603954315,50,0,150,60,12,0.0004750713113924505,7,0. 3,2,24,0.75,0.01264413787701105,COMPLETE
70,0.004401697218418122,40,0,120,120,10,0.00019394624125542887,7,0. 3,1,20,0.75,0.017132996185391644,COMPLETE
71,0.003279001358896494,40,0,120,90,12,0.0008372101370552922,3,0. 3,1,20,0.75,0.019174743461943016,COMPLETE
72,0.0022244376363232733,40,0,120,90,12,0.0002814189665608015,3,0. 3,1,20,0.75,0.01517224644580984,COMPLETE
73,0.0058477167040109634,40,0,120,90,12,0.00016323990750840553,5,0. 3,1,20,0.75,0.031413004416515004,COMPLETE
74,0.00212029532995075,40,0,120,120,12,8.877746478064379e-05,5,0. 3,1,20,0.75,0.025509027638225747,COMPLETE
75,0.0020442641573026775,40,0,120,0,12,0.0001251851741501538,3,0. 3,1,20,0.75,0.0208008230886417,COMPLETE
76,0.0021557276137173175,40,0.1,150,90,12,5.7900567549955286e-05,5,0. 3,1,20,0.75,0.01597617958586107,COMPLETE
77,0.0035733813792467118,50,0,120,60,12,0.0005230891439716102,5,1,1,20,0.75,0.011772126588663416,COMPLETE
78,0.0014910815050825476,40,0,120,120,12,0.0004118654131243974,3,0. 3,1,20,0.75,0.012980977429405013,COMPLETE
79,0.01572772189974785,40,0,120,120,12,0.00043783830958301614,5,0. 3,1,20,0.75,0.010653264445365225,COMPLETE
