number,value,params_batch_size,params_delta_min,params_fclayer1,params_fclayer2,params_first_conv_outchann,params_learning_rate,params_max_loss_reset,params_patience_plateau,params_patience_validation,params_second_conv_outchann,params_split_size,params_weight_decay,state
0,0.0070378674194216725,30,0.1,180,60,6,0.00030994014386095497,7,0. 3,3,20,0.7999999999999999,0.017626820878987103,COMPLETE
1,0.007297582272440195,40,0.1,120,150,8,8.92529849636445e-05,7,0. 3,1,24,0.7,0.09107517997264913,COMPLETE
2,0.015344160795211791,40,0.1,120,60,8,0.00041366290158412964,3,1,3,20,0.7,0.06741746134025624,COMPLETE
3,0.04383744120597839,50,0.1,210,90,10,2.6153877694999533e-05,3,1,0,20,0.7999999999999999,0.07034356616267462,COMPLETE
4,0.11037752429644267,30,0,120,90,6,1.0358427343280156e-05,5,0. 3,3,24,0.7999999999999999,0.08277301451372795,COMPLETE
5,0.0076645840890705585,40,0,150,0,12,0.00028394837247427084,3,1,0,20,0.7,0.06438636325099174,COMPLETE
6,0.00015959325537551194,40,0.1,210,30,12,0.00013517307398864037,1,0. 3,2,24,0.75,0.044745655838232326,COMPLETE
7,0.020842218399047853,20,0.1,180,120,6,0.00019800253425585485,3,0. 3,3,16,0.7,0.037805147944468036,COMPLETE
8,0.07827210923035939,30,0,180,0,12,1.5782458245043937e-05,5,0. 3,3,16,0.7999999999999999,0.016341204003209507,COMPLETE
9,0.009327094350010157,20,0.1,210,60,8,1.6637220945094197e-05,3,1,1,24,0.75,0.05876446802296983,COMPLETE
10,0.001508727265172638,10,0,210,30,10,0.0009606967250766599,1,0. 3,2,24,0.75,0.010068175880689487,COMPLETE
11,0.0032101593184052034,10,0,210,30,10,0.0009445944150688002,1,0. 3,2,24,0.75,0.011426117181550899,COMPLETE
12,0.0016391349432524293,10,0,210,30,12,6.616716625420854e-05,1,0. 3,2,24,0.75,0.03235500703193034,COMPLETE
13,0.009387661092914642,50,0,150,30,10,0.0009416389399481013,1,0. 3,2,24,0.75,0.044182582585082064,COMPLETE
14,0.1725977376103401,20,0.1,180,0,12,5.0227959552727686e-05,9,0. 3,1,24,0.75,0.022373145598717965,COMPLETE
15,0.0024305290076881646,10,0,210,30,10,0.00015660829110260047,1,0. 3,2,20,0.75,0.010571160778293617,COMPLETE
16,8.131715003401041e-05,40,0.1,210,30,12,0.0005685924229999875,1,0. 3,2,24,0.75,0.022567508935392864,COMPLETE
17,0.05662281289696693,40,0.1,150,60,12,0.0005081310654766509,5,0. 3,1,16,0.7999999999999999,0.025636258892792085,COMPLETE
18,0.03956520318984985,50,0.1,180,0,12,0.00014013113169424158,7,1,2,20,0.75,0.047365088258671306,COMPLETE
19,0.006394936610013247,40,0.1,210,90,12,4.057309988377417e-05,1,0. 3,1,24,0.7,0.02625634954473652,COMPLETE
20,0.045840458869934084,50,0.1,180,120,10,0.0005276655482964463,5,0. 3,2,20,0.75,0.017123141352123745,COMPLETE
21,0.0005964085382098953,30,0,210,30,10,0.0006618398558892116,1,0. 3,2,24,0.75,0.013398434378881038,COMPLETE
22,0.001371606020256877,30,0.1,210,30,12,0.0006125226399173593,1,0. 3,2,24,0.75,0.013402463945014074,COMPLETE
23,0.003313189558684826,40,0,210,0,10,0.00024975856745557216,3,0. 3,2,24,0.75,0.023900042857074366,COMPLETE
24,0.0002604446567905446,30,0.1,210,60,12,0.0001185553084370454,1,0. 3,1,24,0.75,0.02005862225895812,COMPLETE
