number,value,params_batch_size,params_delta_min,params_fclayer1,params_fclayer2,params_first_conv_outchann,params_learning_rate,params_max_loss_reset,params_patience_plateau,params_patience_validation,params_second_conv_outchann,params_split_size,params_weight_decay,state
48,0.02132873423397541,40,0,210,0,6,0.0004936072483496073,3,1,3,16,0.75,0.014726846623595018,COMPLETE
49,0.0007221490843221546,40,0,210,0,12,0.0002777683664912341,1,1,3,16,0.7999999999999999,0.010324039818571969,COMPLETE
50,0.0003033146650219957,30,0,180,30,6,0.0006108479204570853,1,1,3,16,0.7999999999999999,0.0164923229182127,COMPLETE
51,0.001642516286422809,30,0,180,30,6,0.0006172283845824982,1,1,3,16,0.7999999999999999,0.01580511433739487,COMPLETE
52,0.0015913897504409155,30,0,180,30,6,0.0004019289618024507,1,1,3,16,0.7999999999999999,0.018473014156387167,COMPLETE
53,0.0012106076659013827,30,0,180,0,6,0.000528566512077374,1,1,3,16,0.7999999999999999,0.013635954524222641,COMPLETE
54,0.00434386966129144,30,0,180,0,6,0.0007937217940848296,1,1,3,16,0.7999999999999999,0.015025053093311033,COMPLETE
55,0.00034364208695478735,40,0,180,30,10,0.000642844393105221,3,1,3,16,0.7999999999999999,0.01151439788184796,COMPLETE
56,0.06820042431354523,40,0,210,30,10,1.6092050157583342e-05,3,1,2,16,0.7999999999999999,0.011962256334667276,COMPLETE
57,0.00036075928946956994,30,0,180,30,10,0.0006692781754679815,3,1,3,16,0.7999999999999999,0.011613601800836376,COMPLETE
58,0.011030752522250017,30,0,210,30,10,0.0008440487064534305,3,1,3,20,0.75,0.013141664383878109,COMPLETE
59,0.0001731308933813125,40,0,180,60,10,0.0004512431463695924,1,1,2,16,0.7999999999999999,0.01006562008893708,COMPLETE
60,0.001540182647295296,40,0.1,210,60,12,0.00042488043575711034,1,1,2,20,0.7999999999999999,0.010026957789619702,COMPLETE
61,0.00030955424590501935,40,0,180,60,10,0.00047009801757677484,1,1,2,16,0.7999999999999999,0.011351025365786265,COMPLETE
62,0.07802607119083405,40,0,180,60,10,0.00031519514824456386,9,1,2,16,0.7999999999999999,0.012294782691016526,COMPLETE
63,0.0028020679640273255,30,0,180,60,10,0.0004889466415682087,1,1,2,16,0.7999999999999999,0.014526387700730036,COMPLETE
64,0.05231495141983032,50,0,180,90,10,0.0002524620996943344,7,1,2,16,0.7999999999999999,0.011001788378923506,COMPLETE
