number,value,params_batch_size,params_delta_min,params_fclayer1,params_fclayer2,params_first_conv_outchann,params_learning_rate,params_max_loss_reset,params_patience_plateau,params_patience_validation,params_second_conv_outchann,params_split_size,params_weight_decay,state
0,0.16055385936051608,10,0.1,150,0,6,0.0003849577188967372,7,1,3,20,0.7999999999999999,0.05200317787993888,COMPLETE
1,0.01015554130077362,50,0.1,210,60,12,1.5298921237157503e-05,9,0. 3,2,24,0.7,0.07996287693768005,COMPLETE
2,0.06720182597637177,10,0.1,120,120,6,0.0005675152720541741,5,1,2,24,0.7,0.03413568219537208,COMPLETE
3,0.00725690716256698,30,0,120,120,6,0.0003482347741538677,9,1,2,24,0.7999999999999999,0.015246994763273248,COMPLETE
4,0.004377031698822975,50,0,120,90,6,1.923913260187351e-05,1,1,1,24,0.7,0.06498481442341647,COMPLETE
5,0.0012875005602836608,50,0.1,210,150,8,0.0004462109080291861,3,1,3,20,0.7,0.011630107661985271,COMPLETE
6,0.032468901077906294,30,0.1,120,60,6,0.00029776149972836504,7,0. 3,0,20,0.7,0.03475234922991921,COMPLETE
7,0.14083705097436905,20,0,180,0,6,2.0162181600014538e-05,7,0. 3,1,20,0.7,0.08901237991286462,COMPLETE
8,0.06186697840690613,50,0.1,150,90,8,2.7906600036025173e-05,7,0. 3,3,20,0.75,0.09165902832898648,COMPLETE
9,0.00018376577645540237,40,0.1,150,90,10,0.0005431210533315423,1,1,1,24,0.7,0.012613251773243279,COMPLETE
10,0.0016525902319699526,40,0,180,30,12,0.00012008185397156607,1,1,0,16,0.75,0.018782091265887042,COMPLETE
11,0.00462270388379693,40,0.1,210,150,10,0.0009062396726338269,3,1,1,16,0.75,0.011516970578096296,COMPLETE
12,0.012934729270637036,40,0.1,180,150,10,0.00013607002229669053,3,1,3,16,0.7,0.02097083479708953,COMPLETE
13,0.050818299502134325,40,0.1,150,120,8,5.1717838252761915e-05,3,1,1,20,0.75,0.010164650303532904,COMPLETE
14,0.00011007939465343953,50,0.1,210,150,10,0.0009809083155477851,1,1,2,24,0.7,0.023680260820201433,COMPLETE
15,8.62792439875193e-05,40,0.1,180,90,10,0.0009437388832354928,1,1,2,24,0.75,0.024859136452524085,COMPLETE
