url,reviewDate,textualRating,languageCode,publisher.name,publisher.site,title,text,claimant,claimDate
https://www.newtral.es/bulo-asintomaticos-no-transmiten-coronavirus-fauci/20200903/,2020-09-03T00:00:00Z,Falso,es,Newtral,newtral.es,"Es falso que el epidemiólogo de la Casa Blanca, Anthony Fauci, diga que los asintomáticos no transmiten el coronavirus",Anthony Fauci dice ahora que los asintomáticos no transmiten el coronavirus,Facebook,2020-09-01T00:00:00Z
https://maldita.es/malditobulo/2020/09/02/manifestacion-negacionista-coronavirus-covid-19-polonia-29-agosto/,,Falso,es,Maldita.es,maldita.es,"No, este vídeo no es de una manifestación negacionista del coronavirus en Polonia: fue grabado en Bielorrusia y no está relacionado con la COVID-19",Manifestación contra el coronavirus celebrada en Polonia el 29 de agosto,Redes sociales,2020-09-04T00:00:00Z
https://maldita.es/malditobulo/2020/09/01/video-manifestacion-corea-del-sur-falsa-pandemia-coronavirus/,,Falso,es,Maldita.es,maldita.es,"No, este vídeo no es de una manifestación en Corea del Sur contra 'la falsa pandemia' de coronavirus: es de octubre de 2019",Vídeo de protestas en Corea del Sur contra las medidas tomadas por el coronavirus,Redes sociales,2020-09-04T00:00:00Z
https://maldita.es/malditobulo/2020/08/31/fotos-manifestacion-mascarillas-coronavirus-berlin/,,Falso,es,Maldita.es,maldita.es,"No, estas fotos no son de una manifestación negacionista del coronavirus en Berlín: son de Liverpool y Ulm y no están relacionadas con la COVID-19",Fotos de la manifestación negacionista del coronavirus en Berlín,Redes sociales,2020-08-31T00:00:00Z
https://maldita.es/malditobulo/2020/08/31/insituto-salud-carlos-iii-pandemia-coronavirus-terminado/,,Falso,es,Maldita.es,maldita.es,"No, el Instituto de Salud Carlos III no ha dicho que la pandemia por coronavirus Sars-Cov-2 haya terminado, como afirmó Pilar Baselga en un vídeo",El Instituto de Salud Carlos III dice en un informe que la pandemia de coronavirus ha terminado.,Redes sociales,2020-05-21T00:00:00Z
https://colombiacheck.com/chequeos/ni-se-ha-comprobado-que-la-leche-materna-prevenga-el-covid-19-ni-patarroyo-lo-aseguro,2020-08-28T01:20:21Z,Falso,es,ColombiaCheck,colombiacheck.com,"Ni se ha comprobado que la leche materna prevenga el COVID-19, ni Patarroyo lo aseguró","La leche materna elimina el coronavirus, según Manuel Elkin Patarroyo",,
https://colombiacheck.com/chequeos/aun-no-esta-comprobado-que-el-interferon-beta-modificado-del-doctor-klinger-pueda-curar-el,2020-08-26T15:02:30Z,Cuestionable,es,ColombiaCheck,colombiacheck.com,No hay evidencia científica de que Interferón Beta modificado por el doctor Klinger cure el COVID,Fórmula del doctor Klinger cura el coronavirus.,,
https://colombiacheck.com/chequeos/es-falso-que-el-coronavirus-sea-una-falsa-pandemia-como-sugieren-los-medicos-por-la-verdad,2020-08-26T01:57:29Z,Falso,es,ColombiaCheck,colombiacheck.com,"Es falso que el coronavirus sea una 'falsa pandemia', como ...",El COVID-19 es una falsa pandemia,,
https://colombiacheck.com/chequeos/no-se-haga-la-prueba-las-pruebas-no-son-confiables-mensaje-basado-en-informacion-falsa,2020-08-25T21:12:43Z,Falso,es,ColombiaCheck,colombiacheck.com,"‘No se haga la prueba, las pruebas no son confiables’, mensaje basado en información falsa",Las pruebas para detectar el coronavirus no son confiables,,
https://colombiacheck.com/chequeos/lavarse-la-boca-con-sal-no-alcaliniza-el-cuerpo-ni-evita-el-coronavirus,2020-08-21T19:56:58Z,Falso,es,ColombiaCheck,colombiacheck.com,Lavarse la boca con sal no ‘alcaliniza’ el cuerpo ni evita el coronavirus,Usando sal el coronavirus no nos afectará,,
https://colombiacheck.com/chequeos/colombia-no-ha-comprado-16-millones-de-dosis-de-la-vacuna-contra-el-coronavirus-de-la,2020-08-19T20:36:45Z,Falso,es,ColombiaCheck,colombiacheck.com,Colombia no ha comprado 16 millones de dosis de la vacuna contra el coronavirus de la farmacéutica Pfizer,Colombia compró 16 millones de dosis de vacuna de Pfizer contra coronavirus,,
