Pressure
city: Ciudad de M&eacute;xico
cityCode: MEX
country: M&eacute;xico
mesurementAgency: SIMAT
URL: http://www.aire.cdmx.gob.mx
timeStamp: 2016/01/01 al 2016/12/31
average_interval: 001h
Date,cve_station,parameter,value,unit
02-01-2016 21:00,HGM,PA,585,9
02-01-2016 21:00,INN,PA,,9
02-01-2016 21:00,LAA,PA,586,9
02-01-2016 21:00,MER,PA,,9
02-01-2016 21:00,MON,PA,,9
02-01-2016 21:00,TLA,PA,583,9
02-01-2016 21:00,XAL,PA,584,9
02-01-2016 22:00,AJM,PA,560,9
02-01-2016 22:00,CUT,PA,585,9
02-01-2016 22:00,HGM,PA,586,9
02-01-2016 22:00,INN,PA,,9
02-01-2016 22:00,LAA,PA,586,9
02-01-2016 22:00,MER,PA,,9
02-01-2016 22:00,MON,PA,,9
02-01-2016 22:00,TLA,PA,583,9
02-01-2016 22:00,XAL,PA,584,9
02-01-2016 23:00,AJM,PA,561,9
02-01-2016 23:00,CUT,PA,586,9
02-01-2016 23:00,HGM,PA,586,9
02-01-2016 23:00,INN,PA,,9
02-01-2016 23:00,LAA,PA,586,9
02-01-2016 23:00,MER,PA,,9
02-01-2016 23:00,MON,PA,,9
02-01-2016 23:00,TLA,PA,583,9
02-01-2016 23:00,XAL,PA,585,9
02-01-2016 24:00,AJM,PA,561,9
02-01-2016 24:00,CUT,PA,586,9
02-01-2016 24:00,HGM,PA,586,9
02-01-2016 24:00,INN,PA,,9
02-01-2016 24:00,LAA,PA,587,9
02-01-2016 24:00,MER,PA,,9
02-01-2016 24:00,MON,PA,,9
02-01-2016 24:00,TLA,PA,583,9
02-01-2016 24:00,XAL,PA,585,9
03-01-2016 01:00,AJM,PA,561,9
03-01-2016 01:00,CUT,PA,586,9
03-01-2016 01:00,HGM,PA,586,9
03-01-2016 01:00,INN,PA,,9
03-01-2016 01:00,LAA,PA,586,9
03-01-2016 01:00,MER,PA,,9
03-01-2016 01:00,MON,PA,,9
03-01-2016 01:00,TLA,PA,583,9
03-01-2016 01:00,XAL,PA,584,9
03-01-2016 02:00,AJM,PA,561,9
03-01-2016 02:00,CUT,PA,586,9
03-01-2016 02:00,HGM,PA,586,9
03-01-2016 02:00,INN,PA,,9
03-01-2016 02:00,LAA,PA,586,9
03-01-2016 02:00,MER,PA,,9
03-01-2016 02:00,MON,PA,,9
03-01-2016 02:00,TLA,PA,583,9
03-01-2016 02:00,XAL,PA,584,9
