place_id,price_level,comida_norm,servicio_norm,ambiente_norm,environment,taste,service_level,taste_service_balance,taste_service_balance_cat,cluster
ChIJWZ2zdav40YURFvsU_rU3uaE,4.0,0.533333333,0.304761905,0.11428571400000001,2,1,1,0,2.0,2
ChIJbS8EZf8B0oURwwD8B0MpqK0,4.0,0.37078651700000004,0.34831460700000005,0.112359551,2,1,2,-1,1.0,2
ChIJhX6jMpj50YUR3poUnV408b4,3.0,0.9090909090000001,0.556818182,0.340909091,3,2,3,-1,1.0,2
ChIJrfTq9Tr_0YURAW5g2EXpLMY,3.0,0.625,0.545454545,0.318181818,3,1,3,-2,1.0,2
ChIJ21LyB_f_0YURW_F1RfqWhiI,3.0,0.626865672,0.447761194,0.28358209,3,1,2,-1,1.0,2
ChIJcXkqTmP_0YURgL7SkW2AGaY,3.0,0.816091954,0.5287356320000001,0.26436781600000003,3,1,3,-2,1.0,2
ChIJgxgQ_Sz50YURoJpnpRhMn7o,3.0,0.7927927929999999,0.46846846799999997,0.261261261,3,1,3,-2,1.0,2
ChIJufeRJhsA0oURihuMwEKs2Ao,3.0,0.505154639,0.38144329899999996,0.226804124,3,1,2,-1,1.0,2
ChIJwZyJ2nP_0YURZqiqMcjc-T8,3.0,0.8666666670000001,0.588888889,0.222222222,3,2,3,-1,1.0,2
ChIJD08EXM340YURzuNh3vsiCYs,3.0,0.611764706,0.529411765,0.21176470600000002,3,1,3,-2,1.0,2
ChIJY0Y_A_8B0oURN4uHr150-YY,3.0,0.918604651,0.558139535,0.186046512,3,2,3,-1,1.0,2
ChIJxZ-x2B4C0oURqYAbNDQ2gBs,3.0,0.472222222,0.583333333,0.180555556,3,1,3,-2,1.0,2
ChIJt2P2jEH_0YURBW7dpnjcxVs,3.0,0.708333333,0.375,0.15625,2,1,2,-1,1.0,2
ChIJ0Vr0QeUB0oURZfWZGMhVCpg,3.0,0.531914894,0.5,0.14893617,2,1,3,-2,1.0,2
ChIJmRyjRi350YUR5JZ-zfmpy6M,3.0,0.596153846,0.480769231,0.144230769,2,1,3,-2,1.0,2
ChIJV4LlAB0C0oURDAvCk8vRpeM,3.0,0.843137255,0.41176470600000004,0.117647059,2,2,2,0,2.0,2
ChIJ7w5HFPj_0YURHTyE1LwPB_c,3.0,0.862385321,0.76146789,0.091743119,2,2,3,-1,1.0,2
ChIJ-Yp5kGf_zYURKrda1G5GMUQ,3.0,0.78021978,0.46153846200000004,0.32967033,3,1,3,-2,1.0,2
ChIJPVNOCAAC0oURSYtY8JP39VE,3.0,0.767676768,0.606060606,0.24242424199999998,3,1,3,-2,1.0,2
ChIJMctPPxkB0oURd5rSwaBHMvU,3.0,0.8857142859999999,0.471428571,0.214285714,3,2,3,-1,1.0,2
ChIJfwECS90A0oURxk3EZ4msfs4,3.0,0.825396825,0.49206349200000005,0.206349206,3,2,3,-1,1.0,2
ChIJxaXnZgIC0oUR5kwVJF3F_X8,3.0,0.752808989,0.528089888,0.146067416,2,1,3,-2,1.0,2
ChIJCacXGY350YURPOvR1VMkAl0,3.0,0.8636363640000001,0.44318181799999995,0.090909091,2,2,2,0,2.0,2
ChIJmZ2mGlACzoURlX59N2X8mXQ,2.0,1.1012658229999999,0.5189873420000001,0.443037975,3,3,3,0,2.0,4
ChIJoWYxEDf_0YURKQ4yzO0cDPI,2.0,1.044444444,0.533333333,0.37777777799999995,3,3,3,0,2.0,4
ChIJx_X5T2wC0oURftCaX08beck,2.0,1.0481927709999999,0.36144578299999996,0.301204819,3,3,2,1,3.0,3
ChIJK8O1qTL50YURg1gtyCZBT2A,2.0,0.75257732,0.48453608200000003,0.298969072,3,1,3,-2,1.0,2
ChIJF8Q-YKoDzoURlfezp6Xfjp0,2.0,1.2359550559999999,0.5168539329999999,0.29213483100000004,3,3,3,0,2.0,4
ChIJrVoDKiv50YURHIyItBol2NY,2.0,1.0,0.52293578,0.23853211,3,3,3,0,2.0,4
ChIJQ7PTnCQB0oUR3BM4Eyrbo_4,2.0,0.972972973,0.414414414,0.21621621600000002,3,3,2,1,3.0,3
ChIJ2aMgewj_0YURpdcFaz8FMgs,2.0,1.064516129,0.47311828,0.215053763,3,3,3,0,2.0,4
ChIJeaRXkh0A0oUR_h7STrE3yks,2.0,1.0,0.5,0.20652173899999998,3,3,3,0,2.0,4
ChIJYdJpGA7_0YURju1dQSjo_5Y,2.0,0.9893617020000001,0.553191489,0.20212766,3,3,3,0,2.0,4
ChIJITgvvy__0YUR0fZG9xzbMO4,2.0,0.892156863,0.39215686299999997,0.19607843100000003,3,2,2,0,2.0,4
ChIJ9fq-YdH-0YURa3zaK7Gz8lc,2.0,0.904761905,0.59047619,0.16190476199999998,2,2,3,-1,1.0,0
ChIJL5oQ-JMC0oURZaf9wq4TjBg,2.0,0.920454545,0.306818182,0.159090909,2,2,1,1,3.0,3
ChIJX5DIiy8FzoUR_r1rWfBAklM,2.0,1.056603774,0.490566038,0.150943396,2,3,3,0,2.0,4
ChIJCb0mr30C0oURB9O4eiWffhc,2.0,1.11627907,0.76744186,0.139534884,2,3,3,0,2.0,4
ChIJ3xty5nT_0YUR3YiY2g8h1b0,2.0,1.287356322,0.379310345,0.137931034,2,3,2,1,3.0,3
ChIJ2bbY7Dv-0YURUiiWvISOsIM,2.0,0.947368421,0.31578947399999996,0.126315789,2,2,1,1,3.0,3
ChIJtfhD_tT40YURj39iqrcd2ww,2.0,0.673267327,0.574257426,0.118811881,2,1,3,-2,1.0,0
