3012208,3012208,,,,,,,-0.27,-0.01,0.99,1.46,-5.86,-3.60,,,,,,,,,,,
3012280,72,,,,,,,-0.27,-0.01,0.98,1.53,-5.74,-3.54,,,,,,,,,,,
3012306,26,,,,,,,-0.27,-0.01,0.99,1.40,-5.92,-3.54,,,,,,,,,,,
3012311,5,,,,,,,-0.27,-0.01,0.99,1.40,-5.92,-3.54,,,,,,,,,,,
3012314,3,,,,,,,-0.27,-0.01,0.99,1.40,-5.98,-3.54,,,,,,,,,,,
3012316,2,,,,,,,-0.27,-0.01,0.99,1.40,-5.98,-3.54,,,,,,,,,,,
3012318,2,,,,,,,-0.27,-0.01,0.99,1.40,-5.98,-3.54,,,,,,,,,,,
3012320,3,,,,,,,-0.27,-0.01,0.99,1.40,-5.98,-3.54,,,,,,,,,,,
3012323,2,,,,,,,-0.26,-0.01,0.99,1.46,-5.86,-3.60,,,,,,,,,,,
3012331,8,,,,,,,-0.26,-0.01,0.99,1.46,-5.86,-3.60,,,,,,,,,,,
3012334,3,,,,,,,-0.26,-0.01,0.99,1.40,-5.80,-3.60,,,,,,,,,,,
3012336,2,,,,,,,-0.26,-0.01,0.99,1.40,-5.80,-3.60,,,,,,,,,,,
3012338,2,,,,,,,-0.26,-0.01,0.99,1.40,-5.80,-3.60,,,,,,,,,,,
3012341,3,,,,,,,-0.26,-0.01,0.99,1.40,-5.80,-3.60,,,,,,,,,,,
3012343,2,,,,,,,-0.26,-0.01,0.99,1.46,-5.80,-3.60,,,,,,,,,,,
3012345,2,,,,,,,-0.26,-0.01,0.99,1.46,-5.80,-3.60,,,,,,,,,,,
3012348,3,,,,,,,-0.26,-0.01,0.99,1.46,-5.80,-3.60,,,,,,,,,,,
3012356,8,,,,,,,-0.27,-0.01,0.99,1.53,-5.74,-3.72,,,,,,,,,,,
3012359,3,,,,,,,-0.27,-0.01,0.99,1.53,-5.74,-3.72,,,,,,,,,,,
3012361,2,,,,,,,-0.27,-0.01,0.99,1.59,-5.80,-3.66,,,,,,,,,,,
3012363,2,,,,,,,-0.27,-0.01,0.99,1.59,-5.80,-3.66,,,,,,,,,,,
3012366,3,,,,,,,-0.27,-0.01,0.99,1.59,-5.80,-3.66,,,,,,,,,,,
3012368,2,,,,,,,-0.27,-0.01,0.99,1.59,-5.80,-3.66,,,,,,,,,,,
3012370,2,,,,,,,-0.27,-0.01,0.99,1.59,-5.80,-3.66,,,,,,,,,,,
