"Estacio","nom_cabina","codi_dtes","zqa","codi_eoi","Longitud","Latitud","ubicacio","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Clas_1","Clas_2","Codi_Contaminant"
50,"Barcelona - Ciutadella","IL",1,8019050,"2.1874","41.3864","Parc de la Ciutadella",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Urbana","Fons",8
50,"Barcelona - Ciutadella","IL",1,8019050,"2.1874","41.3864","Parc de la Ciutadella",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Urbana","Fons",14
50,"Barcelona - Ciutadella","IL",1,8019050,"2.1874","41.3864","Parc de la Ciutadella",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Urbana","Fons",7
50,"Barcelona - Ciutadella","IL",1,8019050,"2.1874","41.3864","Parc de la Ciutadella",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Urbana","Fons",12
43,"Barcelona - Eixample","IH",1,8019043,"2.1538","41.3853","Av. Roma - c/ Comte Urgell",5,"Eixample",9,"la Nova Esquerra de l'Eixample","Urbana","Trànsit",8
43,"Barcelona - Eixample","IH",1,8019043,"2.1538","41.3853","Av. Roma - c/ Comte Urgell",5,"Eixample",9,"la Nova Esquerra de l'Eixample","Urbana","Trànsit",14
43,"Barcelona - Eixample","IH",1,8019043,"2.1538","41.3853","Av. Roma - c/ Comte Urgell",5,"Eixample",9,"la Nova Esquerra de l'Eixample","Urbana","Trànsit",10
43,"Barcelona - Eixample","IH",1,8019043,"2.1538","41.3853","Av. Roma - c/ Comte Urgell",5,"Eixample",9,"la Nova Esquerra de l'Eixample","Urbana","Trànsit",1
43,"Barcelona - Eixample","IH",1,8019043,"2.1538","41.3853","Av. Roma - c/ Comte Urgell",5,"Eixample",9,"la Nova Esquerra de l'Eixample","Urbana","Trànsit",6
43,"Barcelona - Eixample","IH",1,8019043,"2.1538","41.3853","Av. Roma - c/ Comte Urgell",5,"Eixample",9,"la Nova Esquerra de l'Eixample","Urbana","Trànsit",7
43,"Barcelona - Eixample","IH",1,8019043,"2.1538","41.3853","Av. Roma - c/ Comte Urgell",5,"Eixample",9,"la Nova Esquerra de l'Eixample","Urbana","Trànsit",12
43,"Barcelona - Eixample","IH",1,8019043,"2.1538","41.3853","Av. Roma - c/ Comte Urgell",5,"Eixample",9,"la Nova Esquerra de l'Eixample","Urbana","Trànsit",22
43,"Barcelona - Eixample","IH",1,8019043,"2.1538","41.3853","Av. Roma - c/ Comte Urgell",5,"Eixample",9,"la Nova Esquerra de l'Eixample","Urbana","Trànsit",99
43,"Barcelona - Eixample","IH",1,8019043,"2.1538","41.3853","Av. Roma - c/ Comte Urgell",5,"Eixample",9,"la Nova Esquerra de l'Eixample","Urbana","Trànsit",996
43,"Barcelona - Eixample","IH",1,8019043,"2.1538","41.3853","Av. Roma - c/ Comte Urgell",5,"Eixample",9,"la Nova Esquerra de l'Eixample","Urbana","Trànsit",997
43,"Barcelona - Eixample","IH",1,8019043,"2.1538","41.3853","Av. Roma - c/ Comte Urgell",5,"Eixample",9,"la Nova Esquerra de l'Eixample","Urbana","Trànsit",998
44,"Barcelona - Gràcia","IJ",1,8019044,"2.1534","41.3987","Plaça Gal·la Placídia (Via Augusta - Travessera de Gràcia)",6,"Gracia",31,"la Vila de Gracia","Urbana","Trànsit",8
44,"Barcelona - Gràcia","IJ",1,8019044,"2.1534","41.3987","Plaça Gal·la Placídia (Via Augusta - Travessera de Gràcia)",6,"Gracia",31,"la Vila de Gracia","Urbana","Trànsit",14
44,"Barcelona - Gràcia","IJ",1,8019044,"2.1534","41.3987","Plaça Gal·la Placídia (Via Augusta - Travessera de Gràcia)",6,"Gracia",31,"la Vila de Gracia","Urbana","Trànsit",10
44,"Barcelona - Gràcia","IJ",1,8019044,"2.1534","41.3987","Plaça Gal·la Placídia (Via Augusta - Travessera de Gràcia)",6,"Gracia",31,"la Vila de Gracia","Urbana","Trànsit",1
44,"Barcelona - Gràcia","IJ",1,8019044,"2.1534","41.3987","Plaça Gal·la Placídia (Via Augusta - Travessera de Gràcia)",6,"Gracia",31,"la Vila de Gracia","Urbana","Trànsit",6
