249719,249719,,,,,,,-0.38,0.10,0.99,7.69,3.11,-19.71,,,,,,,,,,,
249806,87,,,,,,,-0.16,0.16,0.98,13.37,4.21,-16.97,,,,,,,,,,,
249822,16,,,,,,,-0.22,-0.09,0.89,1.65,2.50,-15.87,,,,,,,,,,,
249826,4,,,,,,,-0.19,-0.11,1.00,-1.65,-0.18,-15.38,,,,,,,,,,,
249829,3,,,,,,,-0.19,-0.11,1.00,-1.65,-0.18,-15.38,,,,,,,,,,,
249831,2,,,,,,,-0.19,-0.11,1.00,-1.65,-0.18,-15.38,,,,,,,,,,,
249834,3,,,,,,,-0.19,-0.11,1.00,0.85,1.34,-16.78,,,,,,,,,,,
249836,2,,,,,,,-0.27,-0.20,0.96,0.85,1.34,-16.78,,,,,,,,,,,
249838,2,,,,,,,-0.27,-0.20,0.96,0.85,1.34,-16.78,,,,,,,,,,,
249847,9,,,,,,,-0.18,-0.16,0.91,1.34,0.92,-16.85,,,,,,,,,,,
249849,2,,,,,,,-0.18,-0.16,0.91,1.34,0.92,-16.85,,,,,,,,,,,
249852,3,,,,,,,-0.18,-0.16,0.91,1.34,0.92,-16.85,,,,,,,,,,,
249854,2,,,,,,,-0.30,-0.14,0.86,2.93,1.04,-16.42,,,,,,,,,,,
249856,2,,,,,,,-0.30,-0.14,0.86,2.93,1.04,-16.42,,,,,,,,,,,
249859,3,,,,,,,-0.30,-0.14,0.86,2.93,1.04,-16.42,,,,,,,,,,,
249861,2,,,,,,,-0.30,-0.14,0.86,2.93,1.04,-16.42,,,,,,,,,,,
249864,3,,,,,,,-0.28,-0.18,1.26,0.24,0.73,-16.30,,,,,,,,,,,
249872,8,,,,,,,-0.28,-0.18,1.26,-3.42,-3.97,-14.65,,,,,,,,,,,
249875,3,,,,,,,-0.13,-0.28,0.94,-3.42,-3.97,-14.65,,,,,,,,,,,
249877,2,,,,,,,-0.13,-0.28,0.94,-3.42,-3.97,-14.65,,,,,,,,,,,
249880,3,,,,,,,-0.13,-0.28,0.94,-3.42,-3.97,-14.65,,,,,,,,,,,
249882,2,,,,,,,-0.13,-0.28,0.94,7.69,1.28,-15.14,,,,,,,,,,,
249884,2,,,,,,,-0.09,-0.01,0.98,7.69,1.28,-15.14,,,,,,,,,,,
249887,3,,,,,,,-0.09,-0.01,0.98,7.69,1.28,-15.14,,,,,,,,,,,
249889,2,,,,,,,-0.09,-0.01,0.98,7.69,1.28,-15.14,,,,,,,,,,,
249896,7,,,,,,,-0.19,-0.18,0.76,3.60,2.56,-17.64,,,,,,,,,,,
249899,2,,,,,,,-0.19,-0.18,0.76,3.60,2.56,-17.64,,,,,,,,,,,
249901,2,,,,,,,-0.19,-0.18,0.76,3.60,2.56,-16.11,,,,,,,,,,,
249904,3,,,,,,,-0.39,-0.04,1.20,4.76,3.05,-16.11,,,,,,,,,,,
249906,2,,,,,,,-0.39,-0.04,1.20,4.76,3.05,-16.11,,,,,,,,,,,
249909,3,,,,,,,-0.39,-0.04,1.20,4.76,3.05,-16.11,,,,,,,,,,,
249911,2,,,,,,,-0.39,-0.04,1.20,4.76,3.05,-16.11,,,,,,,,,,,
249913,2,,,,,,,-0.32,-0.18,1.14,1.10,1.53,-15.44,,,,,,,,,,,
249916,3,,,,,,,-0.32,-0.18,1.14,1.10,1.53,-15.44,,,,,,,,,,,
249923,7,,,,,,,-0.12,0.01,1.00,5.62,0.00,-13.92,,,,,,,,,,,
249925,2,,,,,,,-0.12,0.01,1.00,5.62,0.00,-13.92,,,,,,,,,,,
249928,3,,,,,,,-0.12,0.01,1.00,5.62,0.00,-13.92,,,,,,,,,,,
249930,2,,,,,,,-0.12,0.01,1.00,5.62,0.00,-13.92,,,,,,,,,,,
249932,2,,,,,,,-0.29,0.14,0.88,9.28,4.52,-15.93,,,,,,,,,,,
249935,3,,,,,,,-0.29,0.14,0.88,9.28,4.52,-15.93,,,,,,,,,,,
249937,2,,,,,,,-0.29,0.14,0.88,9.28,4.52,-15.93,,,,,,,,,,,
249939,2,,,,,,,-0.29,0.14,0.88,9.28,4.52,-15.93,,,,,,,,,,,
249947,7,,,,,,,-0.37,-0.07,0.67,2.62,5.49,-14.89,,,,,,,,,,,
249949,2,,,,,,,-0.37,-0.07,0.67,2.62,5.49,-14.89,,,,,,,,,,,
249952,3,,,,,,,-0.32,-0.10,0.94,-1.65,2.14,-10.38,,,,,,,,,,,
249954,2,,,,,,,-0.32,-0.10,0.94,-1.65,2.14,-10.38,,,,,,,,,,,
249957,3,,,,,,,-0.32,-0.10,0.94,-1.65,2.14,-10.38,,,,,,,,,,,
249959,2,,,,,,,-0.32,-0.10,0.94,-1.65,2.14,-10.38,,,,,,,,,,,
249961,2,,,,,,,-0.08,-0.17,1.28,-2.87,-4.94,-11.11,,,,,,,,,,,
