686176;2;;;;;;;-0,32;0,01;0,97;1,59;-5,68;-4,33;;;;;;;;;;
686178;2;;;;;;;-0,32;0,01;0,97;1,53;-5,68;-4,15;;;;;;;;;;
686187;9;;;;;;;-0,32;0,01;0,97;1,53;-5,68;-4,15;;;;;;;;;;
686189;2;;;;;;;-0,32;0,01;0,96;1,65;-5,86;-4,15;;;;;;;;;;
686191;2;;;;;;;-0,32;0,01;0,96;1,65;-5,86;-4,15;;;;;;;;;;
686194;3;;;;;;;-0,32;0,01;0,96;1,65;-5,86;-4,15;;;;;;;;;;
686196;2;;;;;;;-0,32;0,01;0,96;1,65;-5,86;-4,15;;;;;;;;;;
686198;2;;;;;;;-0,31;0,02;0,97;1,71;-5,98;-4,09;;;;;;;;;;
686201;3;;;;;;;-0,31;0,02;0,97;1,71;-5,98;-4,09;;;;;;;;;;
686203;2;;;;;;;-0,31;0,02;0,97;1,71;-5,98;-4,09;;;;;;;;;;
686205;2;;;;;;;-0,31;0,02;0,97;1,71;-5,98;-4,09;;;;;;;;;;
686214;9;;;;;;;-0,31;0,01;0,97;1,71;-6,1;-4,21;;;;;;;;;;
686217;3;;;;;;;-0,31;0,01;0,97;1,71;-6,1;-4,21;;;;;;;;;;
686219;2;;;;;;;-0,32;0,01;0,97;1,71;-6,16;-4,27;;;;;;;;;;
686221;2;;;;;;;-0,32;0,01;0,97;1,71;-6,16;-4,27;;;;;;;;;;
686224;3;;;;;;;-0,32;0,01;0,97;1,71;-6,16;-4,27;;;;;;;;;;
686226;2;;;;;;;-0,32;0,01;0,97;1,71;-6,16;-4,27;;;;;;;;;;
686228;2;;;;;;;-0,32;0,01;0,97;1,83;-6,35;-4,27;;;;;;;;;;
686231;3;;;;;;;-0,32;0,01;0,97;1,83;-6,35;-4,27;;;;;;;;;;
686238;7;;;;;;;-0,32;0,01;0,96;1,89;-6,47;-4,27;;;;;;;;;;
686241;3;;;;;;;-0,32;0,01;0,96;1,89;-6,47;-4,27;;;;;;;;;;
686243;2;;;;;;;-0,32;0,01;0,96;1,89;-6,47;-4,27;;;;;;;;;;
686245;2;;;;;;;-0,32;0,01;0,96;1,89;-6,47;-4,27;;;;;;;;;;
686248;3;;;;;;;-0,33;0,01;0,96;1,83;-6,59;-4,15;;;;;;;;;;
686250;2;;;;;;;-0,33;0,01;0,96;1,83;-6,59;-4,15;;;;;;;;;;
