nombre_lugar,place_id,place_id_2
San Ãngel Inn,{'place_id': 'ChIJufeRJhsA0oURihuMwEKs2Ao'},ChIJufeRJhsA0oURihuMwEKs2Ao
Museo Jumex,{'place_id': 'ChIJv0LcYRoC0oURwXXz3593qE8'},ChIJv0LcYRoC0oURwXXz3593qE8
Guzina Oaxaca,{'place_id': 'ChIJV4LlAB0C0oURDAvCk8vRpeM'},ChIJV4LlAB0C0oURDAvCk8vRpeM
Los Pumpos,{'place_id': 'ChIJv5KO8Uz-0YURvTUyYxZs3pw'},ChIJv5KO8Uz-0YURvTUyYxZs3pw
Museo de Sitio y Centro de Visitantes del Bosque de Chapultepec,{'place_id': 'ChIJV5TiG1D_0YUR_QVQFSGVq-4'},ChIJV5TiG1D_0YUR_QVQFSGVq-4
Teatro El Forito de Coapa,{'place_id': 'ChIJvf_Zh4QBzoURmky8NTfX8Zg'},ChIJvf_Zh4QBzoURmky8NTfX8Zg
El Itakate,{'place_id': 'ChIJvQLg2Ar50YUR_M-6l6qNvCU'},ChIJvQLg2Ar50YUR_M-6l6qNvCU
Museo de Arte Alvar y Carmen T. de Carrillo Gil,{'place_id': 'ChIJVSETXR0A0oURnCpMTXsKQdw'},ChIJVSETXR0A0oURnCpMTXsKQdw
Parque Nacional IztaccÃ­huatl - PopocatÃ©petl,{'place_id': 'ChIJ-VT-R-EvzoURyFHTem1z86c'},ChIJ-VT-R-EvzoURyFHTem1z86c
Museo Universitario Arte ContemporÃ¡neo,{'place_id': 'ChIJvUeFagsAzoURBMV2ubEDduI'},ChIJvUeFagsAzoURBMV2ubEDduI
Fonda Mexicana EL SAUCE,{'place_id': 'ChIJVVVVFfn40YURQWN1neoikzg'},ChIJVVVVFfn40YURQWN1neoikzg
Hacienda Panoaya,{'place_id': 'ChIJVVVVVYg8zoURRFWKaR5djMo'},ChIJVVVVVYg8zoURRFWKaR5djMo
Parroquia San Juan Bautista,{'place_id': 'ChIJVXmuMcP_0YURBRTMHESl2zo'},ChIJVXmuMcP_0YURBRTMHESl2zo
Museo de Sitio de Cuicuilco,{'place_id': 'ChIJw4SugHAAzoURyRtoBBdxfAc'},ChIJw4SugHAAzoURyRtoBBdxfAc
Museo Universitario del Chopo,{'place_id': 'ChIJWbZn1c_40YURM2XEZgPFq54'},ChIJWbZn1c_40YURM2XEZgPFq54
Museo Nacional De San Carlos,{'place_id': 'ChIJ-wBzWNH40YURTUqnO6pJWOM'},ChIJ-wBzWNH40YURTUqnO6pJWOM
"Teatro MilÃ¡n, Foro Lucerna",{'place_id': 'ChIJwf-xgjL_0YURoYMD3zwLSBo'},ChIJwf-xgjL_0YURoYMD3zwLSBo
Pujol,{'place_id': 'ChIJWZ2zdav40YURFvsU_rU3uaE'},ChIJWZ2zdav40YURFvsU_rU3uaE
Palominos,{'place_id': 'ChIJwZyJ2nP_0YURZqiqMcjc-T8'},ChIJwZyJ2nP_0YURZqiqMcjc-T8
