place_id,conteo_reviews,comida,servicio,ambiente,satisfaccion,specials,comida_norm,servicio_norm,ambiente_norm,satisfaccion_norm
ChIJgX7NHyQFzoURHKN3tanlLzY,72,70.0,25.0,0.0,27.0,tacos-carne-carnitas,0.9722222222222222,0.3472222222222222,0.0,0.375
ChIJgxgQ_Sz50YURoJpnpRhMn7o,111,88.0,52.0,29.0,63.0,mole-tacos-carne-chocolate,0.7927927927927928,0.46846846846846846,0.26126126126126126,0.5675675675675675
ChIJH6k-DVD50YURL6RiM5nEb_Y,69,65.0,11.0,0.0,16.0,tacos-carne-carnitas,0.9420289855072463,0.15942028985507245,0.0,0.2318840579710145
ChIJHelenvj_zYUR7usHqmqB4tY,94,78.0,47.0,5.0,34.0,mariscos-tacos,0.8297872340425532,0.5,0.05319148936170213,0.3617021276595745
ChIJhX6jMpj50YUR3poUnV408b4,88,80.0,49.0,30.0,52.0,,0.9090909090909091,0.5568181818181818,0.3409090909090909,0.5909090909090909
ChIJHX88qk7-zYURadLbl5Wksko,85,80.0,40.0,9.0,36.0,pozole,0.9411764705882353,0.47058823529411764,0.10588235294117647,0.4235294117647059
ChIJI86k6pv_0YURi0wZNJo8q1M,90,66.0,17.0,0.0,20.0,mole-carne,0.7333333333333333,0.18888888888888888,0.0,0.2222222222222222
ChIJJ08y4CQH0oURDHmemy5Srno,89,77.0,21.0,2.0,20.0,tacos-birria-carne-barbacoa-tortas-carnitas,0.8651685393258427,0.23595505617977527,0.02247191011235955,0.2247191011235955
ChIJk0hhrEIAzoURalWFM4X3ssc,98,84.0,30.0,1.0,37.0,tacos-carne,0.8571428571428571,0.30612244897959184,0.01020408163265306,0.37755102040816324
ChIJK8O1qTL50YURg1gtyCZBT2A,97,73.0,47.0,29.0,57.0,nogada,0.7525773195876289,0.4845360824742268,0.29896907216494845,0.5876288659793815
ChIJkakAt2j_0YUReRVJVRpH5N0,80,27.0,27.0,5.0,11.0,mariscos-carne,0.3375,0.3375,0.0625,0.1375
ChIJKeZYsvj40YURpXblgYsay4w,75,76.0,17.0,0.0,33.0,chocolate,1.0133333333333334,0.22666666666666666,0.0,0.44
ChIJkzWrrxX5zYURjohBBW22J98,5,3.0,1.0,0.0,1.0,,0.6,0.2,0.0,0.2
ChIJL4C87Ez-0YURjLD2pDPWOSw,101,112.0,41.0,12.0,37.0,carne-carnitas,1.108910891089109,0.40594059405940597,0.1188118811881188,0.36633663366336633
ChIJL5oQ-JMC0oURZaf9wq4TjBg,88,81.0,27.0,14.0,29.0,carne,0.9204545454545454,0.3068181818181818,0.1590909090909091,0.32954545454545453
ChIJLUG4-p750YURr_H6VaVUHFg,32,32.0,6.0,0.0,12.0,tortas,1.0,0.1875,0.0,0.375
ChIJM6YjeUH_0YUReQE4xzR17ZA,106,103.0,29.0,6.0,32.0,mariscos-tacos-pozole,0.9716981132075472,0.27358490566037735,0.05660377358490566,0.3018867924528302
ChIJMctPPxkB0oURd5rSwaBHMvU,70,62.0,33.0,15.0,43.0,tacos-carne,0.8857142857142857,0.4714285714285714,0.21428571428571427,0.6142857142857143
ChIJmczdmnv_0YURugxxhJ5Td90,79,56.0,29.0,2.0,17.0,mariscos-barbacoa-carne-tacos,0.7088607594936709,0.3670886075949367,0.02531645569620253,0.21518987341772153
ChIJmRyjRi350YUR5JZ-zfmpy6M,104,62.0,50.0,15.0,71.0,chocolate-nogada,0.5961538461538461,0.4807692307692308,0.14423076923076922,0.6826923076923077
ChIJMXv44Hn40YURLiHHccBCX1A,83,86.0,35.0,2.0,38.0,pozole-birria-carne-tacos,1.036144578313253,0.42168674698795183,0.024096385542168676,0.4578313253012048
ChIJmZ2mGlACzoURlX59N2X8mXQ,79,87.0,41.0,35.0,37.0,tacos-birria-carne-pozole,1.1012658227848102,0.5189873417721519,0.4430379746835443,0.46835443037974683
ChIJncEmrMMA0oURKh9kJqISKCY,68,44.0,29.0,18.0,38.0,tacos-carne-enchiladas,0.6470588235294118,0.4264705882352941,0.2647058823529412,0.5588235294117647
ChIJnznjaPoCzoURUt3xWtMpatQ,24,23.0,16.0,0.0,15.0,,0.9583333333333334,0.6666666666666666,0.0,0.625
ChIJObz6-D0FzoUR3DltyAAnV4w,21,24.0,1.0,1.0,6.0,nogada,1.1428571428571428,0.047619047619047616,0.047619047619047616,0.2857142857142857
ChIJoRh42vX40YUREHC4v1YNW3w,88,73.0,15.0,2.0,19.0,carne,0.8295454545454546,0.17045454545454544,0.022727272727272728,0.2159090909090909
ChIJOUt-Z_n40YURzpik35UGuS8,94,89.0,35.0,3.0,45.0,yucateca-tacos-cochinita-tortas-chocolate,0.9468085106382979,0.3723404255319149,0.031914893617021274,0.4787234042553192
ChIJoWYxEDf_0YURKQ4yzO0cDPI,90,94.0,48.0,34.0,30.0,carne-tacos-mole-barbacoa-cochinita-nogada-mariscos,1.0444444444444445,0.5333333333333333,0.37777777777777777,0.3333333333333333
ChIJPTKIjkL_0YURxVHr3fClJVs,12,10.0,3.0,0.0,4.0,tacos-carnitas,0.8333333333333334,0.25,0.0,0.3333333333333333
ChIJPVNOCAAC0oURSYtY8JP39VE,198,152.0,120.0,48.0,130.0,carne-nogada-chocolate-carnitas,0.7676767676767676,0.6060606060606061,0.24242424242424243,0.6565656565656566
ChIJPZR8esX_0YURLn19i9XLfn4,37,29.0,14.0,9.0,25.0,tortas,0.7837837837837838,0.3783783783783784,0.24324324324324326,0.6756756756756757
ChIJQ7PTnCQB0oUR3BM4Eyrbo_4,111,108.0,46.0,24.0,65.0,carne-nogada-chocolate-enchiladas,0.972972972972973,0.4144144144144144,0.21621621621621623,0.5855855855855856
ChIJQwV_jIcC0oURJCEnuCkX9V8,102,91.0,33.0,0.0,29.0,tacos-birria-carne,0.8921568627450981,0.3235294117647059,0.0,0.28431372549019607
ChIJR0-0Sfj_zYUR8Vj7YHX3Hvs,96,79.0,70.0,6.0,32.0,tacos-pozole-birria-nogada-tortas,0.8229166666666666,0.7291666666666666,0.0625,0.3333333333333333
ChIJR6RG1pv_0YURmXE_3q0nhEE,106,114.0,40.0,8.0,41.0,yucateca-cochinita-tacos,1.0754716981132075,0.37735849056603776,0.07547169811320754,0.3867924528301887
