nombre_lugar,tipo_experiencia,subtipo_experiencia,rating,direccion,Reviews
Museo de la Ciudad de México (Torre Latino),Cultural o Recreativo,Museo,4.7,"Eje Central Lázaro Cárdenas 2, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, México",97
Museo del Metro de la Ciudad de México,Cultural o Recreativo,Museo,4.4,"03920, Av. Extremadura 185, Insurgentes Mixcoac, Benito Juárez, 03920 Ciudad de México, CDMX, México",3251
Museo Postal,Cultural o Recreativo,Museo,4.8,"2, Calle de Tacuba 1, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, México",190
Galería de Historia Museo del Caracol,Cultural o Recreativo,Museo,4.6,"San Miguel Chapultepec I Secc, Miguel Hidalgo, 11580 Ciudad de México, CDMX, México",2551
Museo Casa Del Risco,Cultural o Recreativo,Museo,4.7,"Plaza San Jacinto 5, San Ángel TNT, San Ángel, Álvaro Obregón, 01000 Ciudad de México, CDMX, México",791
Museo de Historia de Tlalpan,Cultural o Recreativo,Museo,4.1,"Plaza de la Constitución No. 10, Tlalpan Centro I, Tlalpan, 14000 Ciudad de México, CDMX, México",155
Museo de la Cancillería,Cultural o Recreativo,Museo,4.5,"06000, República de El Salvador 47, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, México",418
Museo Nacional de la Revolución,Cultural o Recreativo,Museo,4.6,"Plaza, Av. de la República S/N, Tabacalera, Cuauhtémoc, 06030 Cuauhtemoc, CDMX, México",3498
Casa Luis Barragán,Cultural o Recreativo,Museo,4.5,"Gral. Francisco Ramírez 12-14, Ampliación Daniel Garza, Amp Daniel Garza, Miguel Hidalgo, 11840 Ciudad de México, CDMX, México",1036
UNAM Museo de las Constituciones,Cultural o Recreativo,Museo,4.5,"Calle del Carmen 31, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06010 Ciudad de México, CDMX, México",2383
Museo Muca Roma,Cultural o Recreativo,Museo,4.2,"Tonalá 51, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, México",286
Museo del Ejército y Fuerza Aérea Mexicanos “Bethlemitas”,Cultural o Recreativo,Museo,4.5,"Calle de Filomeno Mata 6, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06040 Ciudad de México, CDMX, México",550
"MUEFA, Museo del Ejército y de la Fuerza Aérea",Cultural o Recreativo,Museo,4.5,"Calz. de Tlalpan 1836, Country Club Churubusco, Coyoacán, 04220 Ciudad de México, CDMX, México",653
Museo de Sitio de Cuicuilco,Cultural o Recreativo,Museo,4.6,"Insurgentes esquina Periférico Sur, Isidro Fabela, 14030 Ciudad de México, CDMX, México",343
Museo Soumaya Plaza Loreto,Cultural o Recreativo,Museo,4.6,"Rio de la Magdalena Y, Tizapán San Ángel, San Ángel, Álvaro Obregón, 01090 Ciudad de México, CDMX, México",1619
"Museo de Geofísica, UNAM",Cultural o Recreativo,Museo,4.6,"Victoriano Zepeda 53, Observatorio, Miguel Hidalgo, 11860 Ciudad de México, CDMX, México",200
MUCA CU - Museo Universitario de Ciencias y Arte,Cultural o Recreativo,Museo,4.3,"Circuito Interior Universitario, Circuto Escolar s/n, C.U., Coyoacán, 04510 Ciudad de México, CDMX, México",802
Museo Soumaya,Cultural o Recreativo,Museo,4.8,"Blvd. Miguel de Cervantes Saavedra S/N, Amp Granada, Miguel Hidalgo, 11529 Ciudad de México, CDMX, México",1313
Palacio de la Autonomía de la UNAM,Cultural o Recreativo,Museo,4.4,"Lic. Primo de Verdad 2, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX, México",283
Museo del Tequila y el Mezcal,Cultural o Recreativo,Museo,4.2,"Plaza Garibaldi s/n, Centro, Cuauhtémoc, 06010 Ciudad de México, CDMX, México",999
Museo De San Ildefonso,Cultural o Recreativo,Museo,4.5,"Donceles, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, México",204
Museo del Cárcamo de Dolores,Cultural o Recreativo,Museo,4.6,"Av Rodolfo Neri Vela S/N, Bosque de Chapultepec II Secc, Miguel Hidalgo, 11850 Ciudad de México, CDMX, México",1448
Pre-Hispanic City of Teotihuacan,Cultural o Recreativo,Pirámides,4.8,"Ecatepec Pirámides km.22 + 600, San Juan Teotihuacan de Arista, Méx.",67000
Pyramid Santa Cecilia Acatitlan,Cultural o Recreativo,Pirámides,4.7,"Av. Acatitlán S/N, Sta Cecilia Acatitlan, 54130 Tlalnepantla de Baz, Méx.",144
PYRAMID Tlatelolco,Cultural o Recreativo,Pirámides,4.6,"Eje Central Lázaro Cárdenas 362, Tlatelolco, Cuauhtémoc, 06900 Ciudad de México, CDMX",63
Piramides Ixtapaluca,Cultural o Recreativo,Pirámides,4.4,"Acozac, 56585 Ixtapaluca, State of Mexico",232
Cuicuilco Pyramid,Cultural o Recreativo,Pirámides,4.6,"04530, Anillo Perif. Blvd. Adolfo López Mateos 507, Insurgentes Cuicuilco, Tlalpan, 04530 Ciudad de México, CDMX",306
Tenayuca Pyramid,Cultural o Recreativo,Pirámides,4.3,"Quetzalcoatl S/N, San Bartolo Tenayuca, 54150 Tlalnepantla de Baz, Méx.",4400
Zona Arqueológica de Cholula,Cultural o Recreativo,Pirámides,4.7,"Calle 14 Pte. S/N, San Miguel, Zona Arqueológica San Andrés Cholula, 72760 San Andrés Cholula, Pue.",21400
Archaeological Zone Tepozteco,Cultural o Recreativo,Pirámides,4.7,"Carretera Federal libre, Cuernavaca - Tepoztlan, 62520 Tepoztlán, Mor.",12800
centro cultural el Foco,Cultural o Recreativo,Teatro,4.4,"Tlacotalpan 16, Roma Sur, Cuauhtémoc, 06760 Ciudad de México, CDMX, México",547
Centro Cultural Teatro 1,Cultural o Recreativo,Teatro,4.2,"Guaymas 8, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, México",4463
El77 Centro Cultural Autogestivo,Cultural o Recreativo,Teatro,4.6,"Abraham González 77, Juárez, Cuauhtémoc, 06600 Juárez, CDMX, México",474
Foro 37 - Teatro Boutique,Cultural o Recreativo,Teatro,4.5,"Londres 37, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, México",370
Foro Shakespeare,Cultural o Recreativo,Teatro,4.5,"Zamora 7, Colonia Condesa, Cuauhtémoc, 06140 Ciudad de México, CDMX, México",2254
Un Teatro,Cultural o Recreativo,Teatro,4.4,"Av Nuevo León 46, Hipódromo, Cuauhtémoc, 06100 Ciudad de México, CDMX, México",336
"Juana Cata - Oficinas y Espacios para Cursos, Talleres y Eventos en CDMX",Cultural o Recreativo,Teatro,4.3,"Plaza, Av. de la República 46, Tabacalera, Cuauhtémoc, 06030 Cuauhtémoc, CDMX, México",38
ALDAMA THEATER,Cultural o Recreativo,Teatro,4.3,"Calle Jose Rosas Moreno 71, San Rafael, Cuauhtémoc, 06470 Ciudad de México, CDMX, México",4484
Teatro ''Benito Juárez'',Cultural o Recreativo,Teatro,4.4,"Calz. Manuel Villalongín 15, Col. Renacimiento, Cuauhtémoc, 06500 Ciudad de México, CDMX, México",658
Teatro de la Ciudad Esperanza Iris,Cultural o Recreativo,Teatro,4.7,"Donceles 36, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Centro, CDMX, México",6743
Teatro El Milagro,Cultural o Recreativo,Teatro,4.5,"Calle Milan 24 Entre Lucerna, Calle Gral. Prim y, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, México",541
"Teatro Milán, Foro Lucerna",Cultural o Recreativo,Teatro,4.6,"Calle Lucerna 64 Juárez, Cuauhtémoc, 06600 Ciudad de México, México",3267
TEATRO Sergio Magaña,Cultural o Recreativo,Teatro,4.4,"Calle Sor Juana Ines de la Cruz 114, Sta María la Ribera, Cuauhtémoc, 06400 Cuauhtemoc, CDMX, México",1118
Teatro Helénico,Cultural o Recreativo,Teatro,4.6,"Av. Revolución 1500, Guadalupe Inn, Álvaro Obregón, 01020 Ciudad de México, CDMX, México",4818
DANZITE COFFEE ART CLUB,Cultural o Recreativo,Teatro,4.3,"Av. Miguel Ángel de Quevedo No. 928 Local 7 Col, Parque San Andrés, Coyoacán, 04040 Ciudad de México, CDMX, México",383
Teatro El Forito de Coapa,Cultural o Recreativo,Teatro,4.1,"04950, Calz. del Hueso 932, El Mirador, 04950 Ciudad de México, CDMX, México",489
Teatro de las Artes,Cultural o Recreativo,Teatro,4.6,"Cto Interior Avenida Río Churubusco, Country Club Churubusco, Coyoacán, 04220 Ciudad de México, CDMX, México",108
Teatro de los Insurgentes,Cultural o Recreativo,Teatro,4.5,"Av de los Insurgentes Sur 1587, San José Insurgentes, Benito Juárez, 03900 Ciudad de México, CDMX, México",5677
Teatro La Capilla,Cultural o Recreativo,Teatro,4.5,"Calle Madrid 13, Del Carmen, Coyoacán, 04100 Ciudad de México, CDMX, México",1283
El Telón de Asfalto,Cultural o Recreativo,Teatro,4.3,"Cda. Perpetua No 4, San José Insurgentes, Benito Juárez, 03900 Ciudad de México, CDMX, México",439
Teatro Ofelia,Cultural o Recreativo,Teatro,4.3,"Av. Thiers 287, Anzures, Miguel Hidalgo, 11590 Ciudad de México, CDMX, México",3042
Templo de la CIudad de México,Cultural o Recreativo,Templo,4.8,"Av. 510 90, San Juan de Aragón, Gustavo A. Madero, 07950 Ciudad de México, CDMX",2843
Templo Expiatorio Nacional de San Felipe de Jesús,Cultural o Recreativo,Templo,4.7,"Av Francisco I. Madero 11, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX",407
Mexico City Metropolitan Cathedral,Cultural o Recreativo,Templo,4.7,"Plaza de la Constitución S/N, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX",15700
Maronite Cathedral of Mexico and Shrine of St. Charbel,Cultural o Recreativo,Templo,4.7,"República de Uruguay 132, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX",785
Santuario de Sta. María Auxiliadora,Cultural o Recreativo,Templo,4.7,"Colegio Salesiano #61, Anáhuac I Secc, Miguel Hidalgo, 11320 Ciudad de México, CDMX",708
Parroquia San Juan Bautista,Cultural o Recreativo,Templo,4.7,"Centenario 8, Coyoacán, 04000 Ciudad de México, CDMX",3700
Basilica of Our Lady of Guadalupe,Cultural o Recreativo,Templo,4.7,"Fray Juan de Zumárraga No. 2, Villa Gustavo A. Madero, Gustavo A. Madero, 07050 Ciudad de México, CDMX",98800
Basílica de Nuestra Señora de los Remedios,Cultural o Recreativo,Templo,4.7,"Calle Zaragoza 1, Los Remedios, 53400 Naucalpan de Juárez, Méx.",2400
Catedral de Puebla,Cultural o Recreativo,Templo,4.8,"C. 16 de Septiembre s/n, Centro, 72000 Puebla, Pue.",12000
Shrine of Our Lady of Remedies,Cultural o Recreativo,Templo,4.7,"Ferrocarril, San Miguel, Zona Arqueológica San Andrés Cholula, 72760 San Andrés Cholula, Pue.",1040
Cathedral Jesus Lord of Mercy,Cultural o Recreativo,Templo,4.5,"Av. Dr. Gustavo Baz 174, Benito Juárez, 57000 Nezahualcóyotl, Méx.",1600
Toluca Cathedral,Cultural o Recreativo,Templo,4.7,"Av. Independencia 5 Ote. 303, Centro, 50000 Toluca de Lerdo, Méx.",6300
