points,Lat,Long
points215,55.7049904,12.5547915
points216,55.7050133,12.5547523
points217,55.7050362,12.5547142
points218,55.7050552,12.5546875
points219,55.7050781,12.5546675
points220,55.7050858,12.554635
points221,55.705101,12.5546045
points222,55.705101,12.5545712
points223,55.7050858,12.554553
points224,55.7050705,12.5545616
points225,55.7050552,12.5545874
points226,55.7050438,12.5546265
points227,55.7050209,12.5546627
points228,55.7050056,12.554698
points229,55.7049789,12.554738
points230,55.7049561,12.5547752
points231,55.7049484,12.5548077
points232,55.7049141,12.5548601
points233,55.7049141,12.5548849
points234,55.7049484,12.5548906
points235,55.7049561,12.5548668
points236,55.7049713,12.5548296
points237,55.7049789,12.5547953
points238,55.7050133,12.5547218
points239,55.7050362,12.5547037
points240,55.7050552,12.554657
points241,55.7050552,12.5546141
points242,55.7050438,12.5545902
points243,55.7050362,12.5545874
points244,55.7050209,12.5546103
points245,55.7050056,12.5546389
points246,55.7049789,12.5546713
points247,55.7049713,12.5547056
points248,55.7049484,12.554738
points249,55.7049408,12.5547647
points250,55.7049141,12.5547895
points251,55.7049065,12.5548153
points252,55.7048988,12.5548458
points253,55.7048836,12.5548687
points254,55.7048683,12.5549116
points255,55.7048683,12.5549603
points256,55.7048988,12.5549536
points257,55.7049065,12.5549316
points258,55.7049141,12.5549011
points259,55.7049332,12.5548763
points260,55.7049561,12.5548153
points261,55.7049713,12.5547752
points262,55.7049789,12.5547304
points263,55.7050056,12.5546894
points264,55.7050209,12.5546627
points265,55.7050438,12.5546446
points266,55.7050438,12.5546246
points267,55.7050438,12.554594
points268,55.7050438,12.5545759
points269,55.7050209,12.5545902
points270,55.7050209,12.5546207
points271,55.7050133,12.5546627
points272,55.7050056,12.5547037
points273,55.7049789,12.5547266
points274,55.7049713,12.5547266
points275,55.7049484,12.5547447
points276,55.7049408,12.5547752
points277,55.7049332,12.5548077
points278,55.7049408,12.5548344
points279,55.7049484,12.5548344
points280,55.7049561,12.5548115
points281,55.7049789,12.5547752
points282,55.7049904,12.5547304
points283,55.7050133,12.5546875
points284,55.7050362,12.554657
points285,55.7050705,12.5546141
points286,55.7050781,12.5545874
points287,55.7050705,12.5545616
points288,55.7050552,12.554553
points289,55.7050362,12.5545692
points290,55.7050209,12.5546017
points291,55.7050056,12.554637
points292,55.7049789,12.5546713
points293,55.7049561,12.5547094
points294,55.7049408,12.55474
points295,55.7049332,12.5547647
points296,55.7049141,12.5547915
points297,55.7049141,12.5548201
points298,55.7049408,12.554822
points299,55.7049561,12.5547991
points300,55.7049713,12.5547609
points301,55.7049904,12.554718
points302,55.7050056,12.5546751
points303,55.7050209,12.5546446
points304,55.7050438,12.5546246
points305,55.7050705,12.5546017
points306,55.7050781,12.5545778
points307,55.705101,12.5545511
points308,55.7051125,12.5545292
points309,55.7051125,12.5545311
points310,55.7051125,12.5545311
points311,55.705101,12.5545292
points312,55.705101,12.5545292
points313,55.705101,12.5545292
points314,55.705101,12.5545292
points315,55.705101,12.5545292
points316,55.705101,12.5545311
points317,55.705101,12.5545292
points318,55.705101,12.5545311
points319,55.705101,12.554533
points320,55.705101,12.554533
points321,55.705101,12.554533
