"TRAM","Rang","GEOM_WKT"
"T18017U","20 - 30 µg/m³","MULTILINESTRING ((425659.111273268 4581020.31424575,425558.108150682 4581024.795021))"
"T17749T","20 - 30 µg/m³","MULTILINESTRING ((429497.753324652 4581958.15349045,429556.665953126 4581897.31794936))"
"T12531J","20 - 30 µg/m³","MULTILINESTRING ((430267.290301955 4587331.53896357,430310.587263821 4587317.6456131))"
"T11475O","20 - 30 µg/m³","MULTILINESTRING ((427603.241400343 4584721.61511639,427545.805783924 4584652.28544863))"
"T04586B","20 - 30 µg/m³","MULTILINESTRING ((430113.952429824 4585662.1904612,430008.410323923 4585669.76127672))"
"T06019J","20 - 30 µg/m³","MULTILINESTRING ((432006.121642033 4587020.89530422,432015.476684074 4587024.53623919,432023.806119884 4587080.36626492))"
"T11674T","<= 20 µg/m³","MULTILINESTRING ((425584.377957184 4584550.47523193,425578.113012989 4584559.10529279,425560.014051875 4584567.9374441,425547.435036939 4584568.55354085,425490.890883272 4584559.93595841))"
"T00233P","20 - 30 µg/m³","MULTILINESTRING ((432073.871412552 4581314.40596783,432089.990021382 4581259.63476159))"
"T07154T","20 - 30 µg/m³","MULTILINESTRING ((426637.286384763 4581626.05473911,426618.279430567 4581635.96789897,426614.625034984 4581716.34605049,426612.446603856 4581791.73718306,426629.977741581 4581806.30407209))"
"T15712Y","20 - 30 µg/m³","MULTILINESTRING ((431169.292311975 4582011.59188819,431174.832253261 4582002.7388327))"
"T20916T","20 - 30 µg/m³","MULTILINESTRING ((430978.439628428 4587229.0534153,431015.525124437 4587286.95822668))"
"T16865S","20 - 30 µg/m³","MULTILINESTRING ((424930.024722342 4582151.4445391,424938.096792949 4582159.09548945,424948.698893538 4582170.17942583,424960.747040257 4582187.04636012,424962.193115637 4582196.68436396,424952.073143779 4582202.46744989,424949.18116853 4582206.32247784,424962.67545646 4582241.50242932,424954.964462753 4582243.91249172,424955.928522756 4582251.62249625,424966.048560441 4582254.51442368,424979.060668443 4582266.08034246,424993.51784817 4582286.80226433,424998.336903205 4582293.0672373,425005.56602781 4582308.00620528,425012.795258473 4582336.92119476,425018.578552714 4582374.5102086,425016.650736229 4582399.0882611,425011.349881579 4582419.32833259,424998.337952767 4582431.37645017,424977.070942881 4582434.43361674,424969.601973316 4582439.97568212,424967.192020769 4582446.72271084,424970.566088186 4582454.91469777,424979.963175948 4582464.55264107,424990.323310923 4582480.21458631,425003.094504505 4582503.10452431,425004.298594148 4582514.66953293,425000.44366678 4582525.03057821,424996.347706124 4582531.05461865,424997.070747479 4582536.3556213,425001.166775793 4582539.24659457,425010.322779066 4582537.80052265,425018.996798049 4582538.52345774,425026.466851731 4582544.0654094,425033.453926602 4582552.49836919,425037.791006496 4582562.13635099,425070.322682549 4582644.54323006))"
"T12052Z","20 - 30 µg/m³","MULTILINESTRING ((431490.432159805 4587986.49174192,431549.158708855 4588046.93639302))"
"T05290S","20 - 30 µg/m³","MULTILINESTRING ((429234.993756661 4586677.79377584,429279.093830929 4586678.58944149,429305.227866502 4586677.94624158))"
"T02236A","20 - 30 µg/m³","MULTILINESTRING ((431467.228570018 4582905.82699684,431561.407435565 4583000.53242804))"
"T05090M","20 - 30 µg/m³","MULTILINESTRING ((429441.091393371 4586323.47064152,429449.104435342 4586327.37758678,429482.414667269 4586351.20937135,429497.674506596 4586326.8632163))"
"T05021Z","20 - 30 µg/m³","MULTILINESTRING ((429806.253870083 4585254.55414916,429794.54196151 4585269.03626158,429792.28499056 4585273.33828567))"
"T06383A","20 - 30 µg/m³","MULTILINESTRING ((432527.888539033 4587560.77021179,432508.62150062 4587559.63035584))"
"T05357U","20 - 30 µg/m³","MULTILINESTRING ((430018.24254064 4587413.8349893,430056.274148826 4587486.39081549))"
"T03141Y","20 - 30 µg/m³","MULTILINESTRING ((427540.700082583 4581138.67711691,427579.658233051 4581150.57383895))"
"T20091D","20 - 30 µg/m³","MULTILINESTRING ((432214.875338218 4582328.83945478,432311.355204822 4582423.27686863))"
"T07289H","20 - 30 µg/m³","MULTILINESTRING ((427787.466029193 4582135.07577087,427790.531153379 4582150.80277166,427751.666497389 4582204.01014889))"
"T04737Y","20 - 30 µg/m³","MULTILINESTRING ((429995.112920103 4586940.39641065,430012.684016989 4586949.60829165,430024.683086968 4586956.40321119,430034.282136107 4586960.93514539,430067.210233794 4586967.11990472))"
"T12020R","20 - 30 µg/m³","MULTILINESTRING ((432122.37689607 4588877.87036573,432019.160941688 4588904.98719034,431996.573089963 4588929.16039957))"
"T08654M","30 - 40 µg/m³","MULTILINESTRING ((428062.460456065 4585523.13255827,428100.325952516 4585636.87440706))"
"T10541D","20 - 30 µg/m³","MULTILINESTRING ((427891.291632456 4583114.76847928,427998.659786889 4583113.2156598))"
"T03715O","20 - 30 µg/m³","MULTILINESTRING ((431016.458924901 4580675.51499745,430967.740940234 4580555.79218251))"
"T01501U","20 - 30 µg/m³","MULTILINESTRING ((431050.371101606 4581613.3341796,431059.704177509 4581621.42312128,431074.290305852 4581635.34403211))"
"T13611M","20 - 30 µg/m³","MULTILINESTRING ((429854.077771426 4583786.11556312,429921.799298036 4583841.59913184))"
"T15054N","20 - 30 µg/m³","MULTILINESTRING ((431582.668140452 4588228.98642768,431613.73757676 4588280.20027347))"
"T19982I","20 - 30 µg/m³","MULTILINESTRING ((430042.33799384 4587072.58026218,430032.45412309 4587091.66736781,430022.910216736 4587105.98246325,430012.856290242 4587117.7415585,430002.630347997 4587127.45565178,429989.849403106 4587137.34076478,429977.919433711 4587143.81686587,429967.696457908 4587149.09795207))"
"T06196Z","20 - 30 µg/m³","MULTILINESTRING ((431980.122010948 4587470.87521607,431933.209971723 4587475.27557822))"
"T01025N","20 - 30 µg/m³","MULTILINESTRING ((430086.466591145 4581742.38168339,430111.723594828 4581737.75448425,430163.319906753 4581768.35913869))"
"T12960A","20 - 30 µg/m³","MULTILINESTRING ((431800.97550379 4590737.4657246,431809.828522731 4590738.14665856,431831.563481555 4590728.26547833,431842.010493791 4590727.73639831,431849.344515518 4590729.09634485))"
"T05208I","20 - 30 µg/m³","MULTILINESTRING ((429980.686779777 4586792.71628473,429957.523662698 4586781.97844384,429947.340642686 4586781.41352042,429870.077592347 4586790.53512289))"
"T16646J","20 - 30 µg/m³","MULTILINESTRING ((432574.812034509 4586296.71284727,432458.7712077 4586343.20679945))"
"RL0004D","> 40 µg/m³","MULTILINESTRING ((433362.596490986 4582681.77972351,433359.585762545 4582678.88131764,433350.065675493 4582669.35137504,433311.345327795 4582631.44161025,433308.175299206 4582628.32162955,433307.135289956 4582627.31163579,433304.485266638 4582624.78165198,433302.665250548 4582623.05166311,433301.675241985 4582622.11166922,433275.465007163 4582596.52182847,433271.834974781 4582593.0118505,433265.414917696 4582586.80188958,433260.024869791 4582581.59192253,433241.134699154 4582562.95203699,433237.584666833 4582559.43205846,433233.969044882 4582555.98955218,433229.854599046 4582552.07210568,433222.104531044 4582544.68215299,433215.824474966 4582538.59219123,433214.374462082 4582537.1922002,433201.844349978 4582524.97227625,433192.804269023 4582516.16233122,433189.284237553 4582512.73235264,433181.994173305 4582505.75239713,433179.394150979 4582503.3324132,433175.154114415 4582499.39243927,433173.196133181 4582497.48084808))"
"T19027A","20 - 30 µg/m³","MULTILINESTRING ((428147.537561507 4584368.70143668,428188.213692036 4584377.57114044))"
"T15805C","20 - 30 µg/m³","MULTILINESTRING ((430207.456267402 4580227.27843949,430169.519395101 4580251.75676547))"
"T02896E","20 - 30 µg/m³","MULTILINESTRING ((427878.266841834 4580511.28858268,427845.020695779 4580498.79681617))"
"T06123I","20 - 30 µg/m³","MULTILINESTRING ((432569.596547739 4586893.57083681,432622.979731408 4586906.93845403))"
"T21554R","20 - 30 µg/m³","MULTILINESTRING ((429881.57800901 4585521.88900495,429892.008022578 4585521.549925,429899.686040567 4585522.35786785,429907.97007631 4585525.38880966,429918.07315308 4585533.47074572,429925.953223359 4585541.14869805,429935.651305614 4585550.03863849,429959.493496878 4585570.44548974,429986.164694045 4585591.05431978,429997.681736313 4585594.2872373,430042.334777844 4585590.64989156,430074.663762098 4585581.96163153,430093.453774331 4585579.73848493,430114.06382607 4585582.36533226,430123.546866521 4585585.77426555))"
"T18388S","20 - 30 µg/m³","MULTILINESTRING ((425259.115714652 4583137.00454885,425279.356803762 4583144.59140639,425330.296950975 4583153.53703228,425365.147090361 4583164.75078415))"
"T11410X","20 - 30 µg/m³","MULTILINESTRING ((428675.325261263 4584353.14239488,428742.420936658 4584428.27499793))"
"T08231T","20 - 30 µg/m³","MULTILINESTRING ((430220.962964447 4583605.59649749,430172.582270256 4583655.60894147))"
"T13976M","20 - 30 µg/m³","MULTILINESTRING ((428068.548625729 4581893.08426155,428114.944697392 4581893.08390863))"
"T04190L","20 - 30 µg/m³","MULTILINESTRING ((430090.843835259 4580720.62908428,430090.962756928 4580710.2920675,430063.895974319 4580612.72212334))"
"T12954C","20 - 30 µg/m³","MULTILINESTRING ((431880.038770987 4590492.9237421,431897.353910333 4590507.73863409,431915.237037136 4590520.78451901,431928.189134731 4590530.99143684,431934.660191508 4590537.14739744))"
"T16478L","20 - 30 µg/m³","MULTILINESTRING ((434229.813719642 4584864.34806856,434136.882301879 4584959.61191598))"
"T18386Q","20 - 30 µg/m³","MULTILINESTRING ((425987.153599015 4575323.19388562,425930.089848337 4575367.51938601,425860.938203132 4575428.1600029,425751.229949583 4575548.50301814))"
"T04730R","20 - 30 µg/m³","MULTILINESTRING ((430015.302495259 4586748.06795004,429980.686779777 4586792.71628473))"
"T07340T","20 - 30 µg/m³","MULTILINESTRING ((427696.789572263 4581830.00599271,427755.7976921 4581833.77654962))"
"T17728O","20 - 30 µg/m³","MULTILINESTRING ((431696.996342868 4587572.50352098,431721.878017602 4587656.47246588))"
"T11515F","20 - 30 µg/m³","MULTILINESTRING ((426220.69007689 4583909.33740883,426173.679222965 4583938.1908108,426161.071240402 4583943.06791424))"
"T20610E","20 - 30 µg/m³","MULTILINESTRING ((432690.814022953 4583374.72544818,432690.462142911 4583390.57247499,432760.207070641 4583498.44611141))"
"T15326S","20 - 30 µg/m³","MULTILINESTRING ((432515.803852195 4587472.60516346,432533.128944584 4587481.26404604,432551.699016131 4587486.91891443))"
"T09339I","20 - 30 µg/m³","MULTILINESTRING ((433749.192006146 4584210.3187108,433656.438557358 4584301.52055121))"
"T07826K","20 - 30 µg/m³","MULTILINESTRING ((429235.358024711 4583682.12711401,429222.94412188 4583697.42823173,429210.705240212 4583715.47635227,429195.858387887 4583737.91349934))"
"T16173X","20 - 30 µg/m³","MULTILINESTRING ((428765.521211842 4586041.35233283,428787.3953247 4586051.78418298,428813.29043742 4586061.37500119,428838.41752136 4586067.32081942,428861.059568607 4586068.92764964))"
"T20732N","20 - 30 µg/m³","MULTILINESTRING ((425613.085596946 4582653.80111291,425617.479643683 4582659.05808753,425642.295841862 4582680.08293092,425656.598932121 4582689.04383581,425674.694036129 4582699.03971343,425696.23614026 4582708.34556374,425721.224235349 4582715.75538492))"
"T20714L","20 - 30 µg/m³","MULTILINESTRING ((427394.092281519 4580404.0730984,427402.612281722 4580402.36703098,427404.728283917 4580402.22601467,427450.169848241 4580467.36176981))"
"T02922P","20 - 30 µg/m³","MULTILINESTRING ((427991.120846103 4580620.69189342,428022.668984218 4580632.48167173))"
"T19364O","20 - 30 µg/m³","MULTILINESTRING ((432509.192866223 4587343.84500922,432496.982114164 4587379.05315753,432496.853216964 4587392.64518007))"
"T09752R","20 - 30 µg/m³","MULTILINESTRING ((433897.598255938 4586057.11345764,433925.200504463 4586084.31529212))"
"T10299M","20 - 30 µg/m³","MULTILINESTRING ((432700.572534093 4585280.60727317,432597.505161068 4585384.38121882))"
"T12206Z","20 - 30 µg/m³","MULTILINESTRING ((431039.704707038 4587094.85873778,431013.392880665 4587123.16698207))"
"T18180E","20 - 30 µg/m³","MULTILINESTRING ((431923.983245338 4587381.28849882,431906.58337211 4587401.57266277,431875.206592153 4587437.02195661))"
"T01683P","20 - 30 µg/m³","MULTILINESTRING ((429651.608712208 4581319.88834313,429547.856364545 4581426.77329589))"
"T03724P","20 - 30 µg/m³","MULTILINESTRING ((430714.839501983 4580417.98088713,430684.58541579 4580412.80310845,430665.207349316 4580408.00324793,430639.318250273 4580400.24343221,430623.280170875 4580393.06054271))"
"T01879Z","30 - 40 µg/m³","MULTILINESTRING ((429641.170602008 4582097.17661219,429736.811467715 4582191.70402916))"
"T01308V","20 - 30 µg/m³","MULTILINESTRING ((431223.35231363 4581211.15225258,431190.235983481 4581174.43644714))"
"T09545M","20 - 30 µg/m³","MULTILINESTRING ((433055.997133237 4585155.66438862,433146.251927364 4585242.00584045))"
"T19320C","20 - 30 µg/m³","MULTILINESTRING ((429249.298068068 4587376.30977972,429243.483110082 4587383.04483468,429245.261161302 4587389.44483133,429266.416439074 4587421.80072183,429280.638672461 4587449.71165801,429286.379704759 4587452.80361925,429296.306710004 4587451.4695416))"
"T03088K","20 - 30 µg/m³","MULTILINESTRING ((427277.73446336 4580847.07766726,427311.121630263 4580862.2764368,427375.533942073 4580890.25599013,427387.479981054 4580892.96190345,427396.8989564 4580887.79682386))"
"T16353Z","20 - 30 µg/m³","MULTILINESTRING ((433285.518453294 4587263.20200505,433073.385128739 4587395.49182042,433062.054192053 4587406.15192309))"
"T17922O","20 - 30 µg/m³","MULTILINESTRING ((429888.027576448 4585067.81424247,429897.835582687 4585066.64016603))"
"T05401H","30 - 40 µg/m³","MULTILINESTRING ((429713.82176979 4587770.24487206,429627.999539112 4587845.76605615))"
"T06808E","20 - 30 µg/m³","MULTILINESTRING ((433198.31827132 4588707.72394859,433178.792556536 4588749.30716199))"
"T01856S","30 - 40 µg/m³","MULTILINESTRING ((429163.24831149 4581629.38153113,429260.171180049 4581724.05893908))"
"T05847H","20 - 30 µg/m³","MULTILINESTRING ((432310.154889425 4586067.35448405,432219.287770012 4586070.09217597))"
"T18977H","<= 20 µg/m³","MULTILINESTRING ((422712.171128875 4586877.67872861,422717.776162799 4586881.01969145,422732.403167188 4586878.63757694,422773.221229812 4586878.6372679,422778.32422217 4586876.59622605,422795.672174023 4586866.73207915,422810.979153675 4586860.94895413,422826.286156534 4586858.22783394,422838.872170687 4586857.54773759,422848.396167251 4586855.16666172,422868.805252694 4586862.30951847,422882.412317393 4586868.09242458,422887.854330895 4586868.77238445,422905.202349766 4586867.75125149,422911.325364317 4586868.43220621,422916.767390708 4586870.81316877,422927.993472379 4586879.31709719,422935.476512208 4586883.05804644,422943.640535044 4586884.41898678,422950.783543422 4586884.07893216,422975.614537671 4586878.29573504,422983.778503785 4586872.17266358,423009.630357811 4586847.6814292,423016.773294006 4586837.81735956,423020.175229611 4586828.6323193,423017.794076439 4586808.90330619,423019.154011498 4586800.05928193,423023.235935263 4586789.17423384,423032.210893643 4586781.86615435))"
"T07419Z","30 - 40 µg/m³","MULTILINESTRING ((428197.29502553 4582446.1281292,428193.526085367 4582454.7711711,428205.519414148 4582495.60714231,428224.772471525 4582499.24200138))"
"T16794U","20 - 30 µg/m³","MULTILINESTRING ((425844.316561009 4576136.64320918,425761.930740565 4576177.10689861))"
"T12196O","20 - 30 µg/m³","MULTILINESTRING ((431040.727229843 4586503.36478681,430987.752299592 4586523.40521978))"
"T08928T","20 - 30 µg/m³","MULTILINESTRING ((431517.284662382 4584879.68561258,431417.33824994 4584977.14951602))"
"RD0094P","30 - 40 µg/m³","MULTILINESTRING ((427044.393858691 4584756.07682154,427055.981871746 4584763.96234252,427059.331894178 4584766.2423207,427073.561994311 4584776.50222776,427087.422097749 4584787.29213843,427100.892204854 4584798.59205305,427113.892314019 4584810.32197184,427114.542319824 4584810.93196783,427127.682431339 4584822.92188606,427146.022597048 4584840.97177345,427169.672809651 4584864.07162847,427196.743050957 4584890.29146199,427216.373229755 4584909.7813421,427236.913414322 4584929.87121619,427260.603628498 4584953.19107105,427277.533779874 4584969.63096704,427295.973947372 4584987.89085429,427298.503970254 4584990.39083863,427299.591290892 4584991.5553167))"
"T02181C","20 - 30 µg/m³","MULTILINESTRING ((429553.283066524 4582570.83500376,429458.970654001 4582667.25586826))"
"T11412Z","20 - 30 µg/m³","MULTILINESTRING ((428649.18647925 4584387.12764539,428546.06532829 4584519.76763147))"
"T14987T","<= 20 µg/m³","MULTILINESTRING ((424537.633210091 4586645.91348627,424540.720256674 4586651.42547149,424545.012293725 4586655.43044515,424549.72633516 4586659.92741637,424551.736377636 4586665.11940928,424549.726448076 4586674.83143997,424546.880470267 4586678.34746721,424542.079495123 4586682.61851054,424534.259536338 4586689.67158126,424525.018588841 4586698.50766563))"
"T04556V","20 - 30 µg/m³","MULTILINESTRING ((430886.649270514 4585879.66995569,430894.624306502 4585882.79590034,430900.104339141 4585885.98886399,430905.037391926 4585891.95583621))"
"T18841S","20 - 30 µg/m³","MULTILINESTRING ((428366.624548365 4580768.71126647,428297.78445943 4580770.96979338))"
"T21311A","20 - 30 µg/m³","MULTILINESTRING ((426859.642901102 4583887.07350991,426805.255487669 4583975.38105856))"
"T16955T","<= 20 µg/m³","MULTILINESTRING ((425472.886910814 4583777.44090161,425462.313891259 4583777.0349815,425450.317864848 4583776.01807129,425436.084858118 4583778.05118278,425418.395869167 4583783.13432525,425392.165949984 4583799.15554947))"
"T16200J","20 - 30 µg/m³","MULTILINESTRING ((428853.935774376 4586493.88738255,428847.713946432 4586517.8874682,428843.447133632 4586543.48754151,428838.469500087 4586592.90965823,428841.314744079 4586624.55468704,428847.358971488 4586653.35468696,428853.403220432 4586684.99869141,428861.143499014 4586720.20968864,428862.269588298 4586731.7716985))"
"T17482L","20 - 30 µg/m³","MULTILINESTRING ((428772.357639347 4584251.61150228,428733.684934882 4584298.34386753))"
"T15073Q","20 - 30 µg/m³","MULTILINESTRING ((427297.555958426 4584594.44825131,427376.651735825 4584680.5257796))"
"T11784Y","<= 20 µg/m³","MULTILINESTRING ((425479.901862955 4583901.35903754,425443.41502631 4583930.35035968))"
"T21447P","20 - 30 µg/m³","MULTILINESTRING ((428032.60594589 4580098.31177145,427967.057261652 4580021.43715088))"
"T06155Q","20 - 30 µg/m³","MULTILINESTRING ((432365.622213496 4586891.01637655,432350.369489583 4586930.56855489))"
"T19636T","20 - 30 µg/m³","MULTILINESTRING ((432274.279689039 4580783.42563296,432281.664938924 4580814.82862537))"
"T17707J","20 - 30 µg/m³","MULTILINESTRING ((431442.909846351 4581894.65363684,431443.961822169 4581891.25762367,431450.995787575 4581885.27456124))"
"T09730L","20 - 30 µg/m³","MULTILINESTRING ((433560.436211941 4586119.740108,433512.441518391 4586169.93755103))"
"T07934N","20 - 30 µg/m³","MULTILINESTRING ((429791.95490057 4584210.06367814,429904.792786842 4584303.63296086))"
"T17518G","20 - 30 µg/m³","MULTILINESTRING ((427750.366779328 4584609.89982664,427770.057947991 4584628.05870424,427839.483186889 4584645.29920173))"
"T10475K","20 - 30 µg/m³","MULTILINESTRING ((428434.306130791 4583332.90267929,428366.531550259 4583270.32309974))"
"T08157A","20 - 30 µg/m³","MULTILINESTRING ((429480.868262277 4583400.4818178,429548.955816211 4583459.50038936))"
"T04335K","20 - 30 µg/m³","MULTILINESTRING ((430335.331558959 4584449.08390711,430284.140874152 4584500.90937285))"
"T03258K","20 - 30 µg/m³","MULTILINESTRING ((428480.600718139 4580899.66760149,428567.020124707 4580935.68099981))"
"T19706Q","20 - 30 µg/m³","MULTILINESTRING ((425231.216432677 4584685.56812776,425171.671918563 4584761.74969737,425125.421047172 4584788.18008995,425122.118124487 4584799.03413164,425125.89321286 4584809.88911941,425160.818787381 4584878.32195752,425162.705901495 4584892.9519654,425159.875001078 4584906.6390078,425142.885351098 4584956.19321264,425139.31745707 4584970.87226215))"
"T02372H","20 - 30 µg/m³","MULTILINESTRING ((431309.146206719 4582495.55856827,431436.688858551 4582555.3766937))"
"T20616K","20 - 30 µg/m³","MULTILINESTRING ((434283.894494819 4585482.3416201,434295.682600318 4585493.88054935))"
"T00868S","30 - 40 µg/m³","MULTILINESTRING ((431148.625390961 4581894.60586582,431090.184766227 4581955.88040221,431071.323780187 4581961.55655375))"
"T19910S","20 - 30 µg/m³","MULTILINESTRING ((430424.50342855 4586655.65469457,430389.46190446 4586725.69707171))"
"T19546S","20 - 30 µg/m³","MULTILINESTRING ((427552.975757077 4579907.20512188,427647.822301316 4579959.6804821))"
"T03921S","20 - 30 µg/m³","MULTILINESTRING ((426970.622772373 4580423.12534776,427020.641497696 4580376.73589568))"
"T02389Q","20 - 30 µg/m³","MULTILINESTRING ((430119.561806206 4580842.65305333,430212.943643196 4580933.96148358))"
"T18368O","20 - 30 µg/m³","MULTILINESTRING ((427605.462771927 4580689.29493166,427628.529060974 4580722.69280779))"
"T13162I","20 - 30 µg/m³","MULTILINESTRING ((433307.285638032 4582804.63791161,433552.23901538 4583067.80045969))"
"T20683V","20 - 30 µg/m³","MULTILINESTRING ((428394.735344406 4577044.12726987,428538.596778262 4577336.2476343))"
"T04824W","20 - 30 µg/m³","MULTILINESTRING ((429648.450052205 4586103.88271212,429596.564726352 4586071.43205511))"
"T19918A","<= 20 µg/m³","MULTILINESTRING ((427460.746326477 4585927.68808494,427463.661311886 4585925.16205871,427469.781319929 4585924.9680118,427482.023344103 4585925.64791968,427496.500363662 4585925.25980883,427517.874379957 4585923.02464251,427527.881383002 4585921.37256368,427533.329356958 4585916.81351492))"
"T20940T","20 - 30 µg/m³","MULTILINESTRING ((428583.859413371 4584786.18074706,428540.390632103 4584823.79513495))"
"T08018Q","20 - 30 µg/m³","MULTILINESTRING ((429540.880021558 4584145.52949148,429497.274430401 4584208.13591821))"
"T09974D","20 - 30 µg/m³","MULTILINESTRING ((433580.373299993 4583231.08349614,433546.698498286 4583263.97680123))"
"T10081W","20 - 30 µg/m³","MULTILINESTRING ((434413.670519901 4585327.3603915,434432.783674192 4585343.85927327))"
"T08379M","20 - 30 µg/m³","MULTILINESTRING ((429486.075293335 4584455.28637754,429527.818581468 4584484.67010422))"
"T07075V","20 - 30 µg/m³","MULTILINESTRING ((426806.86534183 4582376.14260155,426797.358560348 4582406.86072101))"
"T12779F","20 - 30 µg/m³","MULTILINESTRING ((431206.343116738 4588698.69102137,431142.137661463 4588783.70764217))"
"T06562B","20 - 30 µg/m³","MULTILINESTRING ((433815.069352722 4587669.86864072,433838.066414928 4587673.39747222))"
"T02364H","20 - 30 µg/m³","MULTILINESTRING ((431181.086550043 4582435.21544599,431196.330733792 4582456.2873627,431273.090422469 4582531.27189582))"
"T11374K","20 - 30 µg/m³","MULTILINESTRING ((428781.842972112 4584161.94829411,428813.39211775 4584174.67507325,428832.949241021 4584186.90194291))"
"T01993A","30 - 40 µg/m³","MULTILINESTRING ((430310.246046411 4582940.79781118,430405.674906243 4583034.43823088))"
"T20303W","20 - 30 µg/m³","MULTILINESTRING ((430602.638633861 4581511.38341546,430578.670474567 4581495.30457244))"
"T20172D","20 - 30 µg/m³","MULTILINESTRING ((432094.019906203 4581243.65270651,432098.629783685 4581226.58664537))"
"T05814Y","20 - 30 µg/m³","MULTILINESTRING ((431873.982817228 4585354.10264356,431841.914022037 4585387.69593997))"
"T02331Y","20 - 30 µg/m³","MULTILINESTRING ((430156.013813067 4582415.33418192,430061.810380457 4582509.0500413))"
"T02358J","20 - 30 µg/m³","MULTILINESTRING ((430988.376289483 4582440.14291298,430895.141876706 4582536.36176584))"
"T03664U","20 - 30 µg/m³","MULTILINESTRING ((430237.828548971 4580521.52366161,430196.724878683 4580441.61885073))"
"T09489V","20 - 30 µg/m³","MULTILINESTRING ((433945.781028366 4584962.21636535,433899.225301037 4585007.44378604))"
"T14207I","20 - 30 µg/m³","MULTILINESTRING ((431560.579991919 4582810.8231452,431578.736160673 4582829.33103594))"
"T00490E","20 - 30 µg/m³","MULTILINESTRING ((431667.450482758 4581932.73799442,431726.273012621 4581990.50563733))"
"T18316C","20 - 30 µg/m³","MULTILINESTRING ((433677.850254262 4585045.97351885,433728.425952747 4585127.55225988))"
"T19161F","20 - 30 µg/m³","MULTILINESTRING ((433089.709843413 4581823.03805504,432947.294700556 4581964.72935091))"
"T08704F","20 - 30 µg/m³","MULTILINESTRING ((428696.893188464 4585259.44160348,428704.27834354 4585278.42457769,428709.250634424 4585315.85159983,428716.211816614 4585338.50458315,428720.188979279 4585359.18858602,428726.155167383 4585382.82657848,428733.115334678 4585403.51055864,428743.059472998 4585419.75350895))"
"T02061V","20 - 30 µg/m³","MULTILINESTRING ((430786.763906644 4583219.93862716,430692.407487633 4583315.52548684))"
"T05084O","20 - 30 µg/m³","MULTILINESTRING ((429345.426306367 4586331.53438252,429315.088521915 4586366.21366883))"
"T02008Q","30 - 40 µg/m³","MULTILINESTRING ((430595.762192477 4583033.38678984,430692.293044956 4583125.84719947))"
"T08177E","20 - 30 µg/m³","MULTILINESTRING ((429240.252278226 4583451.4567263,429207.823008765 4583422.60792922))"
"T18506G","20 - 30 µg/m³","MULTILINESTRING ((427740.459827702 4580537.42767081,427748.459883886 4580543.2056189))"
"T20808Q","20 - 30 µg/m³","MULTILINESTRING ((427642.667687176 4578824.88576067,427672.711322278 4578770.66244804))"
"T10258D","20 - 30 µg/m³","MULTILINESTRING ((431233.588194111 4584875.69675325,431186.948478634 4584922.5411769))"
"T08731I","20 - 30 µg/m³","MULTILINESTRING ((428895.048725613 4585554.15856711,428924.050664295 4585540.1143238))"
"T03636Q","20 - 30 µg/m³","MULTILINESTRING ((429901.651556518 4580195.44171462,429891.006481907 4580187.7667837,429882.702387089 4580176.95683017,429874.355258944 4580161.76687022,429870.535139596 4580146.81987623,429870.492995765 4580127.88484738,429873.139747513 4580094.65277607,429892.687696836 4580084.02761114,429917.740452872 4580046.83236343))"
"T07097B","20 - 30 µg/m³","MULTILINESTRING ((426635.626358038 4582413.23796152,426617.939717493 4582464.19017428))"
"T16896Z","30 - 40 µg/m³","MULTILINESTRING ((426677.270829004 4584383.49214847,426696.689870626 4584408.73435435,426722.968832522 4584442.85402982,426738.846545302 4584461.82457376,426765.546819595 4584484.63037229,426786.488079102 4584501.36485286))"
"T20718P","> 40 µg/m³","MULTILINESTRING ((425515.211570057 4582756.21570022,425463.906689928 4582622.79957987))"
"T08138X","20 - 30 µg/m³","MULTILINESTRING ((429713.165634182 4583402.22805281,429651.209118974 4583478.5526402,429629.02628311 4583504.63884862,429617.5793661 4583517.87595583))"
"T14851E","20 - 30 µg/m³","MULTILINESTRING ((434751.957374673 4584713.75089059,434708.801268763 4584708.52520906,434325.007704925 4584580.33291722))"
"T06253R","20 - 30 µg/m³","MULTILINESTRING ((432169.159202407 4587589.52797321,432156.337205685 4587592.57707512))"
"T14681E","20 - 30 µg/m³","MULTILINESTRING ((431008.834539095 4588135.09962477,431119.730425037 4588229.31293425))"
"T17697Y","20 - 30 µg/m³","MULTILINESTRING ((428365.702301276 4579550.3733919,428351.619265472 4579548.50849605,428334.856254533 4579550.46462647,428325.916238662 4579550.18469398,428312.227164629 4579543.20078721,428304.684057655 4579530.62882506,428304.124984734 4579521.1298146,428308.035899616 4579509.11676627,428336.252389845 4579436.19843888,428346.059225652 4579412.56632774))"
"T07198F","20 - 30 µg/m³","MULTILINESTRING ((425491.613377444 4582781.49423356,425439.074733846 4582839.20572206,425431.530785845 4582847.60079237,425423.402818166 4582853.52386333))"
"T08633H","20 - 30 µg/m³","MULTILINESTRING ((428293.714772025 4585419.23992956,428337.828980195 4585437.70262322))"
"T08715I","20 - 30 µg/m³","MULTILINESTRING ((428940.936568385 4585656.13538109,428956.846876256 4585693.5623199))"
"T05640U","20 - 30 µg/m³","MULTILINESTRING ((428321.299888122 4587278.19068503,428305.529585913 4587241.51774676))"
