"TRAM","Rang","GEOM_WKT"
"T09386P","30 - 40 µg/m³","MULTILINESTRING ((433092.399627314 4584687.59040448,433057.71584353 4584723.01872058))"
"T09155C","20 - 30 µg/m³","MULTILINESTRING ((433175.999841684 4583647.16319104,433222.145247689 4583691.21490891))"
"T06296C","20 - 30 µg/m³","MULTILINESTRING ((432004.922914406 4587321.08779045,431959.76808921 4587353.37618358))"
"T03163E","20 - 30 µg/m³","MULTILINESTRING ((427756.597659785 4581039.06132158,427739.378028058 4581091.07953264))"
"T09255F","20 - 30 µg/m³","MULTILINESTRING ((433650.671135345 4584115.73831237,433749.192006146 4584210.3187108))"
"T08817N","20 - 30 µg/m³","MULTILINESTRING ((432505.135625224 4584543.26162894,432467.453860042 4584581.75097237))"
"T10101J","20 - 30 µg/m³","MULTILINESTRING ((433315.702764696 4583214.22547362,433363.925191238 4583260.56917936))"
"T08632G","20 - 30 µg/m³","MULTILINESTRING ((428092.92771969 4585321.36230175,428017.163437078 4585395.18125419))"
"T09652O","20 - 30 µg/m³","MULTILINESTRING ((432937.942229633 4585324.23954753,432843.271823166 4585421.87041973))"
"T03020Q","20 - 30 µg/m³","MULTILINESTRING ((428323.249300285 4580086.0415431,428238.290546427 4580003.92806202))"
"T12919Z","30 - 40 µg/m³","MULTILINESTRING ((432242.622401168 4589183.62493697,432173.563608219 4589225.04352536))"
"T00954P","20 - 30 µg/m³","MULTILINESTRING ((430819.935023981 4581650.0509815,430807.398173519 4581672.2841105,430797.099289021 4581689.58221499,430788.191389933 4581704.67630557))"
"T17527H","20 - 30 µg/m³","MULTILINESTRING ((432128.064779185 4587937.92583663,432086.416854074 4587956.3111811))"
"T16362A","30 - 40 µg/m³","MULTILINESTRING ((431792.925234024 4586746.48748116,431737.262826801 4586836.11404522))"
"T11026T","20 - 30 µg/m³","MULTILINESTRING ((427367.399755909 4583895.79965747,427329.928197784 4583961.58904289))"
"T01155W","20 - 30 µg/m³","MULTILINESTRING ((430358.726647688 4581168.08773768,430374.185542312 4581151.06359445,430396.883399341 4581127.61438651,430415.015298549 4581110.64822311))"
"T17230T","20 - 30 µg/m³","MULTILINESTRING ((430327.101339584 4580475.72691461,430318.156322025 4580475.24098166,430257.548217284 4580342.14623639))"
"T01946T","20 - 30 µg/m³","MULTILINESTRING ((429027.197774749 4582244.45250732,429121.88518951 4582148.21163993))"
"T07889Z","20 - 30 µg/m³","MULTILINESTRING ((429171.450656182 4583778.1557462,429160.551824964 4583802.56586621,429158.609848456 4583806.04988628))"
"T10349F","20 - 30 µg/m³","MULTILINESTRING ((429103.038460396 4583240.2494492,429187.933132089 4583311.34691137))"
"T04856E","20 - 30 µg/m³","MULTILINESTRING ((429364.132453074 4586214.97505384,429406.777022829 4586149.40962441))"
"T01430W","20 - 30 µg/m³","MULTILINESTRING ((430400.751086159 4581612.06309909,430392.602234731 4581633.27619327))"
"T17265E","20 - 30 µg/m³","MULTILINESTRING ((431732.547217753 4581753.02822615,431732.763180467 4581748.07721692,431756.641122784 4581735.63101699))"
"T02561K","20 - 30 µg/m³","MULTILINESTRING ((430807.010653245 4584365.61321081,430899.280469365 4584454.12164628))"
"T04729Y","20 - 30 µg/m³","MULTILINESTRING ((430025.23940229 4586733.75885158,430015.302495259 4586748.06795004))"
"T01633F","30 - 40 µg/m³","MULTILINESTRING ((431354.991663269 4581098.73308266,431397.092572226 4581078.17573212,431411.156538199 4581070.83261428))"
"T17606F","20 - 30 µg/m³","MULTILINESTRING ((432760.250861837 4586500.20876817,432649.119221589 4586570.32272076))"
"T09207X","20 - 30 µg/m³","MULTILINESTRING ((433149.295828692 4583913.83579903,433177.234190505 4583955.75465138,433199.201441769 4583984.34652863,433211.524565094 4583998.06845625))"
"T12907V","20 - 30 µg/m³","MULTILINESTRING ((431421.132808483 4589273.56930215,431413.493860053 4589281.93537322,431418.124933722 4589290.70235196,431429.213101065 4589310.50029917,431437.484250044 4589328.45326482,431444.051420948 4589349.64624847,431445.848516886 4589361.93025422,431447.649602127 4589372.80225772,431445.92766682 4589381.68628477,431440.785807429 4589401.28235462,431445.262909749 4589413.85834052,431452.709005006 4589424.8943015,431458.733124759 4589439.45227879,431464.470252616 4589455.13726005,431477.411379037 4589469.15718409,431487.976444976 4589475.68811433,431498.247540422 4589486.17005302,431516.522744849 4589509.38295113,431525.120787344 4589513.22489203,431541.943745472 4589504.25775043,431555.675667668 4589491.1856258,431574.572391488 4589450.89741916,431581.53229548 4589436.81234423,431595.245261525 4589429.52622885,431612.163333232 4589435.51711011,431628.242385419 4589439.10599394,431650.660475456 4589446.38783556,431659.657577437 4589457.99278568,431677.523746968 4589476.68867976,431695.987837169 4589484.80155264,431717.002904657 4589489.39740066,431736.146061221 4589506.12128196,431758.866103573 4589507.05411129,431780.030154165 4589509.39195462,431804.843259767 4589518.23578054,431828.249352427 4589525.6616149,431844.474390926 4589527.41649473,431869.734467457 4589532.33631109))"
"T04597E","20 - 30 µg/m³","MULTILINESTRING ((430581.982439735 4586096.43760841,430456.461796625 4586169.26867499))"
"T08203P","20 - 30 µg/m³","MULTILINESTRING ((429990.444383916 4583444.55100721,430034.552809368 4583491.54274291))"
"T06595K","30 - 40 µg/m³","MULTILINESTRING ((433817.956363159 4587802.53682858,433847.030438255 4587806.52861481))"
"T01915M","30 - 40 µg/m³","MULTILINESTRING ((429878.552738272 4582330.1471624,429878.196040471 4582238.41402512))"
"T08416A","20 - 30 µg/m³","MULTILINESTRING ((429138.426332207 4584925.41573497,429200.006812944 4584976.05634258))"
"T12083G","20 - 30 µg/m³","MULTILINESTRING ((431695.989680857 4586561.18191952,431698.264478027 4586665.98306936))"
"T13003U","20 - 30 µg/m³","MULTILINESTRING ((431452.876078216 4590357.38976703,431437.942009119 4590351.34487073,431379.946588863 4590307.84424198,431336.084254435 4590272.75751932,431304.305048311 4590252.10472773))"
"T19295S","20 - 30 µg/m³","MULTILINESTRING ((425914.203007795 4583041.39941533,425986.940757753 4583125.26999009,426002.976819905 4583130.17187553))"
"T11305X","20 - 30 µg/m³","MULTILINESTRING ((427973.475666119 4584154.93343738,427963.682656756 4584155.6995131,427855.079310974 4584263.90250428))"
"T02656Q","20 - 30 µg/m³","MULTILINESTRING ((431554.362956543 4583596.46938798,431478.621472318 4583679.65808769))"
"T01496O","20 - 30 µg/m³","MULTILINESTRING ((431117.045027537 4581590.01063879,431105.905125145 4581605.12474633,431074.290305852 4581635.34403211))"
"T14865K","20 - 30 µg/m³","MULTILINESTRING ((427885.508223619 4577791.03630467,428024.778887457 4577850.43033954))"
"T18074D","20 - 30 µg/m³","MULTILINESTRING ((430577.593171069 4587382.75369501,430563.655846519 4587342.75173686))"
"T09798F","20 - 30 µg/m³","MULTILINESTRING ((434251.654658661 4585642.50511923,434195.703009216 4585700.11563421))"
"T15984U","20 - 30 µg/m³","MULTILINESTRING ((426318.784138205 4583952.63390436,426288.18062538 4583991.25536812))"
"T05334N","20 - 30 µg/m³","MULTILINESTRING ((429778.202958932 4587385.9807711,429628.727649136 4587507.61510184))"
"T15621W","20 - 30 µg/m³","MULTILINESTRING ((431714.687514455 4581664.09922515,431706.098541539 4581669.41029835))"
"T17971X","20 - 30 µg/m³","MULTILINESTRING ((428184.697972639 4586789.14494683,428200.221124771 4586806.0558556,428234.997463142 4586843.6186507))"
"T01863R","30 - 40 µg/m³","MULTILINESTRING ((429734.461023912 4582002.20075753,429830.267882847 4582095.8121719))"
"T10276F","20 - 30 µg/m³","MULTILINESTRING ((433730.024834851 4586431.48732092,433687.689957118 4586456.21968054))"
"T21256K","20 - 30 µg/m³","MULTILINESTRING ((428582.33185085 4580237.81880802,428604.576581835 4580197.86357726))"
"T09532H","20 - 30 µg/m³","MULTILINESTRING ((432868.49245763 4585104.79173004,432965.482341329 4585201.3141426))"
"T05538X","<= 20 µg/m³","MULTILINESTRING ((427675.213609648 4587109.67033427,427657.816774968 4587135.06150701,427652.017910988 4587154.20758155,427650.08505301 4587173.35362667,427655.884236045 4587196.32961902,427682.945655113 4587246.1094921,427694.543847152 4587269.0854403,427698.409983674 4587286.31643823,427696.477096703 4587301.63347725,427686.812183234 4587315.03657208,427675.215194243 4587318.86566642,427659.751184752 4587320.78078715,427648.153094237 4587311.20786022,427630.756501605 4587236.5368741,427618.911178782 4587196.34590044,427614.89501086 4587174.99989711,427614.529892598 4587159.46187522,427618.839756077 4587140.55481238,427624.56261966 4587121.37173836,427631.42247114 4587100.35765278,427635.31332433 4587080.1775911,427631.140187197 4587062.92759546,427618.483054785 4587048.03966814,427600.849976523 4587041.32079168,427515.125081183 4587072.71049402,427499.290083874 4587076.31162026,427486.863055588 4587075.12471296,427471.916976231 4587067.71181494,427419.895682906 4587039.65116633,427401.118632774 4587036.88230485,427381.037643683 4587042.44046653,427317.965681558 4587060.37397508,427299.585684473 4587064.52812158,427228.701514035 4587056.56464848,427191.975471473 4587058.47893106,427147.517474912 4587068.05228466,427103.939420946 4587069.86761924,427073.004314291 4587062.13384244,427040.687158412 4587048.18606629,427018.31398241 4587029.541207))"
"T19562S","20 - 30 µg/m³","MULTILINESTRING ((432089.27559324 4587657.40768568,432005.797614867 4587677.30434927))"
"T03360H","20 - 30 µg/m³","MULTILINESTRING ((426909.794432542 4580917.93757479,426973.454774184 4580949.9931401))"
"T03707O","20 - 30 µg/m³","MULTILINESTRING ((430672.73463488 4580707.41465124,430621.566579135 4580578.84584141))"
"T02977E","20 - 30 µg/m³","MULTILINESTRING ((428022.645264251 4580274.07711875,427996.757064582 4580253.02028303,427978.715917471 4580237.2963959))"
