,Usuario_Id,recency,Avg_dias,distancia,total_min,num_reincidencia,mes,recency_t,Avg_dias_t,distancia_t,total_min_t,num_reincidencia_t,mes_t,Cluster
0,102,5,9.11,0.7925275363641591,5.413793103448276,29,0.8,1.7099759466766968,1.5556205635421847,0.7925275363641591,1.7559031239902512,3.072316825685847,0.8,0
1,127,72,0.96,1.6522950073444858,11.306010928961749,183,0.8,4.160167646103808,0.9918688392825663,1.6522950073444858,2.244414850660449,5.677411370845432,0.8,0
2,201,0,2.23,1.3325792043912466,8.408163265306122,49,0.4,0.0,1.1739807414962615,1.3325792043912466,2.0334510014715863,3.6593057100229713,0.4,5
3,212,27,0.33,1.8415132402726708,9.846153846153847,13,0.2,3.0,0.8011296179008336,1.8415132402726708,2.143329159348497,2.3513346877207573,0.2,5
4,237,0,0.08,2.1640010211578935,13.377358490566039,742,1.0,0.0,0.6034176336545163,2.1640010211578935,2.3738692155250556,9.053183052567535,1.0,4
5,264,2,0.63,1.0440877372757646,8.99468085106383,188,0.6,1.2599210498948732,0.9117339144776729,1.0440877372757646,2.0796739543076876,5.728654315982437,0.6,0
6,267,193,1.27,1.2633576140341767,8.073529411764707,68,0.4,5.778996565152129,1.048964387767766,1.2633576140341767,2.0061087734271843,4.081655101917348,0.4,2
7,272,5,1.32,0.4699840895546575,14.144385026737968,187,1.0,1.7099759466766968,1.057096868374616,0.4699840895546575,2.4183993824926584,5.718479064871316,1.0,0
8,275,1,1.83,0.911860253819765,7.375,128,1.0,1.0,1.1284705195585212,0.911860253819765,1.9464982079366302,5.039684199579492,1.0,0
9,303,54,17.2,0.9814590554369276,7.833333333333333,6,0.3,3.7797631496846193,1.7664676538207023,0.9814590554369276,1.9860135284219231,1.8171205928321397,0.3,2
10,306,4,4.13,0.8436099229643954,5.603174603174603,63,1.0,1.5874010519681994,1.3279753397209468,0.8436099229643954,1.7761435047218797,3.9790572078963917,1.0,0
11,344,23,107.0,1.7379050229977242,17.333333333333332,3,0.2,2.8438669798515654,2.5461076134379654,1.7379050229977242,2.5879786922187686,1.4422495703074083,0.2,1
12,371,3,0.97,1.3613066546810413,9.658415841584159,202,0.9,1.4422495703074083,0.9939266761482027,1.3613066546810413,2.12961926391333,5.867464308442615,0.9,6
13,377,20,25.3,1.2471591663659514,10.0,11,0.7,2.7144176165949063,1.908200934657744,1.2471591663659514,2.154434690031884,2.2239800905693152,0.7,2
14,405,1,2.81,2.065622023879017,15.454545454545455,55,0.6,1.0,1.2295360420851442,2.065622023879017,2.4908758312383856,3.802952460761391,0.6,4
15,413,0,4.56,0.9267734636018774,10.65,60,1.0,0.0,1.3545435372584496,0.9267734636018774,2.2001377324238245,3.9148676411688634,1.0,0
16,432,127,5.28,2.0473243920538713,13.433333333333334,30,0.5,5.026525695313479,1.3948476802735588,2.0473243920538713,2.3771755995566397,3.1072325059538586,0.5,1
17,457,4,5.12,1.429300588969944,7.884615384615385,52,1.0,1.5874010519681994,1.386289686310293,1.429300588969944,1.9903380135590316,3.7325111568172478,1.0,0
18,462,3,0.55,0.8346572393948058,7.416422287390029,341,1.0,1.4422495703074083,0.887304201366326,0.8346572393948058,1.95013562829512,6.986368027818105,1.0,6
19,476,80,9.95,1.2163019097523722,13.6,20,0.7,4.308869380063767,1.5833051199394985,1.2163019097523722,2.386966383854674,2.7144176165949063,0.7,2
20,537,12,2.61,1.0298782207725419,7.086021505376344,93,0.9,2.2894284851066637,1.2115130636658185,1.0298782207725419,1.9207351699800692,4.530654896083492,0.9,0
21,545,11,4.02,1.6676932106473115,12.123076923076923,65,1.0,2.2239800905693152,1.3208247875572883,1.6676932106473115,2.297228983142201,4.020725758589058,1.0,0
22,660,3,9.1,1.2652537276172988,12.15625,32,0.7,1.4422495703074083,1.5552788941563636,1.2652537276172988,2.299322421703584,3.1748021039363987,0.7,0
23,746,0,0.66,0.9133064626028207,9.520547945205479,292,1.0,0.0,0.9202562742220908,0.9133064626028207,2.119437665704357,6.6342874368674964,1.0,6
24,1004,0,10.81,1.4918807718420821,10.857142857142858,28,0.6,0.0,1.6097748529515759,1.4918807718420821,2.2143104897877,3.0365889718756622,0.6,0
25,1072,0,0.49,0.9215553401686639,6.414110429447852,326,1.0,0.0,0.8670401643811234,0.9215553401686639,1.8579990071389383,6.882388750477947,1.0,6
26,1100,6,4.74,1.4205040388821248,10.0,36,0.5,1.8171205928321397,1.3650723448756752,1.4205040388821248,2.154434690031884,3.3019272488946263,0.5,0
27,1103,7,7.08,1.073058896366708,8.473684210526315,38,1.0,1.912931182772389,1.479131041969563,1.073058896366708,2.0387192565333603,3.361975406798963,1.0,0
28,1166,23,16.0,1.5655610805169615,10.777777777777779,18,0.6,2.8438669798515654,1.7411011265922482,1.5655610805169615,2.208901795825556,2.6207413942088964,0.6,1
29,1270,111,25.33,0.5808604715809216,7.75,4,0.2,4.805895533705332,1.9086532579389714,0.5808604715809216,1.9789458048402027,1.5874010519681994,0.2,2
30,1304,12,5.45,1.8924488171275209,10.18,50,0.8,2.2894284851066637,1.4037161625431458,1.8924488171275209,2.1672845049337237,3.6840314986403864,0.8,0
31,1350,246,0.0,1.459045143232663,9.0,1,0.1,6.265826556058271,0.0,1.459045143232663,2.080083823051904,1.0,0.1,7
32,1356,0,0.41,0.7280496718617472,6.157608695652174,368,1.0,0.0,0.8366749594697069,0.7280496718617472,1.8328940537350318,7.166095742031892,1.0,6
33,1406,8,5.42,1.4162708074795183,9.692307692307692,13,0.3,2.0,1.4021673730078674,1.4162708074795183,2.132107335100038,2.3513346877207573,0.3,5
