timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
73198889968,21669,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73198943065,21670,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73198960615,21671,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73198985331,21672,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73199018112,21673,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73199056669,21674,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73199089270,21675,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73199112993,21676,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73199144160,21677,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73199174346,21678,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73199206527,21679,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73199238107,21680,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73199319226,21681,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73199343118,21682,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73199351653,21683,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73199380563,21684,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73199400534,21685,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73199422963,21686,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73199455461,21687,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73199485523,21688,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73199520445,21689,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73199547862,21690,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73199581619,21691,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73199612896,21692,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73199675431,21693,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73199682937,21694,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73199712156,21695,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73199746757,21696,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73199776825,21697,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73199825352,21698,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73199831681,21699,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73199864118,21700,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73199894222,21701,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73199927852,21702,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73199962806,21703,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73199991579,21704,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73200074135,21705,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73200079101,21706,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73200085384,21707,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73200113149,21708,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73200144124,21709,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73200185492,21710,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73200214145,21711,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73200245398,21712,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
